天命人，你叼的不是筷子，是如意金箍棒！
这条路，太苦了
加油！没有什么不可能！
帅！！！！
666
牛逼
真神！！！！！！！！！！！！！
攻击力高了，数值不正常，应该是开了风灵月影
看的心酸 必须三联
帅
厉害厉害
牛逼
太厉害了涅！！！
杨戬:你这样搞的我好没面子
逆天
不是。。
你才是真大圣啊
她直播过的，说分开拍的，自己做不到，不代表别人不行
先打破防
惊为天人
？？？？？？？？？？？？？？
泪目了
佩服
这个太牛了，真的
大圣残躯？
别人是永劫无间高手
牛
曲对……
牛逼
666666
我确实是菜
啊？牛逼！
太牛了厉害！
只佩服这样得人~~1赞2币！！！！！！！！！！！！！
厉害厉害！！！！！！！！！！！！！！！！！！！！！！！！！！！！
我想看她全程直播回放。。。
这是石敢当么。
看了，键鼠按键都改了她顺手得位置
我草全程看右上角，啧眼神，我知道是真的！纯！
这天命人要打多久才能这样~
卧槽了~
卧槽？别这样啊，天命人？我只是看到首播~点进来
6666666
？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
二爷 打我吧 别打她
打到杨戬最后这阶段是个人都会紧张 求稳吃药正常
居然是顶着激光往前多数人都是拉开躲
这游戏也没多难啊，不用手都行
没什么可说的 三连了
你才是天命人
大圣残躯
在座各位，你们要手有何用？
牛啊
不流口水吗
战鹰看看
牛批
同款键盘
真正的 ！ 齐！天！大！圣！！！
6
残奥会可以拿金牌了
云声这改编真的绝了！
其实说残疾，他们真的残疾么？比我们有毅力，比我们有才干，比我们更懂得珍惜，我们才残废好么！
阿喵真厉害 我都还没打过这个呢。
恭喜
黑猴，，启动！！！
牛
??
这？
我不行了，我看哭了
666
哈哈哈哈
二郎神不打磕一个的
啊？
我去看到这才看到右上角，逆天
你才是真正的大圣
嘴叼的是定海神针吧
我已经开始懵了
敢于直面天命的人，都是大圣
太牛逼了
6666666
???太离谱
太牛了，我打了三四个小时还是很狼狈的过
刚被杨戬虐完就看到这个视频~~~~
再切，再切，再切，再切，再切！！！
牛逼，你是最棒的
真牛皮
牛批
牛
牛逼！大圣牛逼！
一阵强劲的音乐响起
啊，我才注意到右上角
你才是真的大圣！牛逼
帅！！！！！！！
投石
你是真正的天命人
佩服佩服佩服
帅
看哭了
漂亮
太强了吧，我的天~
我要这双手有何用
牛逼！
我身无拘，我心无束，我即是天命
过了
这么强？？？
芜湖
啊？
BGM要来
这伤害多少级啊
讲究！！
主页推过来的，太强了，加油，天命人！
这个时候召出石磷磷已经赢了
主页推过来的，太强了，加油，天命人！
主页推过来的，太强了，加油，天命人！
谢谢你教我什么是热爱生活
太棒了！！！
金身套打他好用啊
牛逼牛逼
牛逼！！！
这轻棍她点的是重棍啊？
好强啊
熟练得让人落泪
大圣
预判这么准嘛
太厉害了
如果卡退了才是绝杀
杨戬是二郎神有什么毛病？黑神话里既有魔家四将也有梅山六怪，这不是完全融了封神设定吗
牛逼！
无敌我只能说
桑尼马德头！！（砸碗）
？
好强啊！！！！！
卧槽
我忍不住哭了
“而你，我的朋友，你才是真正的英雄”
？
666666
牛的
牛逼
下次能不能用脚
勇气的赞歌
云生，玩一下
帅气！！！
？！！！老娘就是英雄！！！！
燃起来了燃起来了！！！
这是真大圣！
手残党自闭了，这也太牛逼 了
忍不住看了两遍
大圣知道了他一定很高兴！！！
学轮椅教学的来看，这都学不会自裁吧
up主的筷子也很像金箍棒的造型
而你 我的朋友你才是齐天大圣
此刻的杨戬就仿佛命运，UP主给了它一拳，说去NM的命运。
突然发现自己好菜
咱就是说，这是不是过于厉害了
佩服佩服
莫名感动。
respect
天命人
真的厉害
66666666666666
刺激
稳
强
？？？
我要这个币有何用！！！！！！！
毛毛一招出来，这局拿下
有看到小妹妹了，加油
妹妹加油！
泪目
啊？？？？？人类克服困难的勇气可敬可叹
这打一场多累 这丹药 打杨戬都不吃 那还什么时候吃
哇 之前看了小黄龙的 这都到杨戬了
阿喵的小生活
贪心了，刚2段打出去就不会被躲了
我要这双手有何用？
占戈哥欠走己
還有高手?
牛。。。
厉害
这号伤害好高，应该找人刷了等级的吧
太厉害了，妹子
这可信吗
残奥会金牌！！
太厉害了！！！！！
太牛了。。。比我用手柄打的还好！！！无以为敬，只能投币了。。。
卧靠
666666
你才是大圣
帅
这个主播我看过她  很厉害
同款键盘
投币
杨戬你识趣点
bgm有点吵，其他完美
nb
加油
花木兰！
你想做英雄？能逃脱牢笼，你便是大英雄
踏上取经路，比抵达灵山更重要…诶等会？
你想接他衣钵？这条路太难了
神通不够再不上前如何超他
那么牛逼的人，怎么之前没听说过
牛逼
所说的天命人不就是我们吗？  孙悟空名字不都刻在我们骨子里  甚至2-3代人心里
牛牛
燃起来了
还有人问杨戬是不是二郎神？
太厉害了！
？
很难不投币
这么强的吗？
太强了
牛！！！
"而你,姐姐,你是真大圣"
真真天命人！
我命由我不由天
大圣残躯！
牛批！
帅
玛德，看哭了！
又强又稳
看哭了
真帅啊
太帅了
牛批
天命人
大圣残躯！
卧槽！
啊？？我的天
太厉害了，投俩币支持一拨
扛个石头？
？
都没有用轮椅打法
666666
二郎主要训练玩家。没攻击欲。最简单的BOSS
加油阿猫
稳啦
真正的天命人。黑猴第一个三连送上
为什么我打杨戬不能放技能
二郎神：完辣
给老子看泪目了
牛牛牛
单线程玩出来的操作
说实话，这标题劝退了我好几次……
太帅了！
她是永劫的
我都打不过，太厉害了
这币不投又有何用?
让杨戬两只手
虽然数值伤害很高，受击伤害也不痛不痒的，但是还是很强啊
真天命人
66666
膜拜UP主
牛逼打了两天看攻略，侥幸过的
？？这还用吃啊，这么多酒
宗门弟子 你还有何面目开科技 ^_^
UP主唱的？
哇~太厉害了
@徐静雨
对不上吧…
我要这铁棒有何用！ 这才是金箍棒真正的用法！
nb
我要这铁棒有何用！
天命人！！
姑娘 你就是大圣的意
我只能玩搅棍流哈哈
太棒了
阿？
bgm太难听了
这配的什么BGM啊。。。。
看得我都牙疼了
看来我真的挺闲的
身残志坚啊！
我的手还有用吗
讲究！
你才是真正的天命人
6666
woc，这变奏
身残志坚
还有啥好意思说自己手残，看看人家
66666
石髓泡酒物有概率不消耗酒
我身无拘，武道无穷
厉害！牛逼！
才发现是云升玩一下
学会了，用嘴玩就能过
筷子仙女
牛
牛鼻
真正的强者
真厉害
真按键教学，跟着学你也能过。
有死磕
这是要死磕
二郎神是悟空好兄弟，他在放水，不为难悟空
天命人也得磕一个
齐天大圣
小鸡啄米？
为什么我笑了……
牛逼
6啊
谦虚了是全宇宙第一人
李海
。。。
我要~这双手有何用！
全体起立
太棒了
啊？
哪是几分影子啊分明就是大圣
全世界第一
太帅了
她明明强得可怕，却依然那么稳健
太厉害了呀小妹妹，惭愧，我还打不过
真天才
？？ 打脸了多少人啊这妹子，真的厉害
棍使得不错，就是可惜是个瞎子！嘿嘿，八戒嘲讽你了
杨家二哥此时一定无比欣慰，猴哥得此后继者，何愁不胜
猴哥如果知道马喽是这样来到面前的，必定更加欣慰
太强了！
想表达对你的尊重，奈何文化不够。三连奉上。
吾身无拘 武道无穷  你就是真正的天命人
好强大！！！
流派玩法不同羞愧啥？玩游戏玩的就是开心和乐趣尤其是单机
玩虾~
我无地自容。。
牛逼
那倒是 很多人还在前三章徘徊呢
这段bgm好洗脑，洗了一天大半夜三点爬起来听
牛逼
真牛啊！
一指流太强了吧
牛逼
666666
6
要泪目了
不需要喝满，豆够回血
6666
女武神！
？？？
牛啊
啊？
你才是真的天命人
真天命人
猴欢喜环节
是不是永结无间的那个妹妹
就一个字“牛逼”
卧槽
尊敬
卡点的头，哈哈哈
这才是天命人
太厉害了佩服
破打鼓的
游科，看到了吗，好好加油。出更多更好的作品
太强了
6666666666666666
牛逼
我来助你！
比我用手玩的好
敬佩
牛逼！！！！！！！
这是真的吗？我给你跪下了
二郎神如果你知道是这个姑娘的话想必你会直接认输的
姑娘太厉害了，在想佩服的五体投地。
帅！
6666666
眼睛为什么模糊了我
女武神
天命所归！
太厉害了，强到离谱
上帝惧怕完整的我
用一根手指根本无法比好吧
这条路，太苦了
鼓掌
6
必须三连
云声，玩一下
就应该草长莺飞，向阳而生。
太厉害了
UP加油
啊
牛的牛的！！！！！！！！！
真大圣
6666666666666666666
我来助你
太厉害了！
严格来说二郎神也未必一定姓杨，历史上也出现过李家二郎的二郎神，作为民间信仰版本很多的
啊？
太牛啦!!!撒花
而你，我的朋友你才是真正的齐天大圣！！
用筷子怎么这么精准快速点到的。。而且，类比一只手指一指禅来玩，也很难搞
我去我还以为叼筷子是搞怪的，太强了妹子
。。突然有点理解不了打不过的人了（包括我自己
你才是真正的天命之人
值得三连
切死！
飒 ！！！！
bgm有点吵
牛
非常稳  妹子   打一下是一下！！基本没有多余的    2个B给你！！！
看了真惭愧，问自己有没有好好玩过游戏
无敌
加油哦
在下佩服
我震惊了！币给你了
两币以示敬意
啊
？
还得是你，太牛了
这个是真的厉害
棒！
天命人
牛
嘴咬道具：不求人
牛皮
好！好！好！
啊
讲究
讲究
啊？？？？？
二阶段变身后白给的
有人打游戏为娱乐，有人打游戏为生存
强烈建议用脚摇杆鼠标呀~~~~~~~
BGM是郑州的雲House的演出预谋，站里也有他们各个视角的录制，超燃，有兴趣也可以去看看！
大圣残躯！
真真正正的天下第一 天命人啊 这技术
这操作真6啊
神人呀
要是有完整的双手还了得！！
第二次观看了
我三连了
还能极限闪避...
让你一只眼两只手，小圣
太离谱了
玩哔站八年，人生第一次充电，给你！
最可怕的是，主播平时播永劫的
妹子，两个币请收下
大圣的意就封印在杨戬的第三只眼睛里
这波是我已经开始喝酒了
我恨不得杨戬让我一只手，她让杨戬两只手
这么强的吗
6666666
我cao//
牛逼
二郎：我额头上的眼已经看到了，你分明就是那只猴子！
厉害
加油天命人
杨戬不攻击？
啊？？
我明天要码字3万字。
我不信
哇塞，好厉害
up也是天命人
不为别的，两个币给你
真好 眼框都给我打湿了
太厉害了
虽然很强但是这个发型很危险
有好多话想说，到嘴边又不知道说啥了  加油， 朋友！  君子已自强不息！
盲猜bgm玩一下
她跌倒了 但她又站起来了
石双双也没胳膊-点赞
不如残疾人
太强了
太强了
强
太厉害了，加油，我打了好多次
dio
比我用手都灵活，太厉害了，妹妹
666，真正的天命人
？？？
天行健
牛逼！
充个电，请你喝杯可乐～
大圣残躯
？
就用嘴巴 对节奏的把握要很精准
牛逼
牛啊。。。。握手都不会玩情何以堪
给个三连
牛逼
我的耳朵
大佬
妹妹你是通过什么来移动大圣的？用脚么
妹妹，能为你做的不多，请收下2个币
你谦虚了吧，什么全国，世界第一人吧
史老师玩一下
完了，遇到真大圣了
强者自强
牛逼
稳了
我身无拘
你真来呀！
牛
真丶如意金箍棒
这BGM可以啊
太厉害了
啊？？？？？？？？？
6666
展示容错
啊？？？？？
boss肯定会读指令，离远了蓄力会打断，还会后撤步躲蓄力劈棍
有个泡酒物是有几率不消耗酒
棒棒棒！
石头里的人是黄凤岭土地，自己去看影神图
真大圣残躯！牛
这跟我打的好像不是同一个boss啊
你让我觉得自己也行……
讲究
真·天命人
他的葫芦还是满的~?
同款键帽
这次真的是，只有汗水，没有数值。
我也打了四个小时。。。
牛逼
这次就三连，绝不下次
等级挺高的 看样子
6666666
还是硬过的
太牛了！！！太牛了！！！！！看得我泪目了
撒花！！！！！！！
真天命人
加油！
66666
大善！
真的猛
厉害
比我打的好
三连走起
太牛了
一阵强劲的音乐
不适姐们儿
史老师  玩一下！！！！
你叼的那是筷子吗？那是如意金箍棒呀！
你叼的那是筷子吗？那是如意金箍棒呀！
最不起眼的石头却是对杨戬宝具
姐你太谦虚了，全球第一人！
三连了
BGM是破打鼓的哈哈哈哈
6666
6666
你不是天命人，你是对抗天命的真大圣！
云生！
啊？？？
啊？
我无言以对
我来助你！
璧给了nb 老妹
啊？！
我去，我要哭了
送你上去，加油
强啊，姐姐
加油，你我皆是天命人
好久没有投过币了
牛逼，打的很丝滑
很强
展示容错
666666666666
6666666
佩服佩服
这下不得不投币了
强
阿？
杨戬：你这样显得我很憨
还有什么理由不好好打游戏
啊？
这也太牛B了了。，
牛逼
尊敬
厉害厉害
太强了
太稳了
稳
但凡有手还过不了的，不能再找借口了
牢笼啊！！我已经突破了！
好强的背板
帅
？？？
牛牛牛
二郎真君台词也太应景了吧
太牛了，我跪了
B杨戬这个闪身真特么服了，好不容易把豆攒满
B杨戬这个闪身真特么服了，好不容易把豆攒满
B杨戬这个闪身真特么服了，好不容易把豆攒满
真大圣 努力前行
@游戏科学
牛逼
666
云声，玩儿一下，玩儿一下～
暂不暂停都一样，同样的硬直
牛逼
但是你看看剩余酒量，神了
？二郎神为什么不动
云声，玩儿一下~
杨戬没在出招过程中就会躲掉，抓好时机就不会被躲，他闲庭信步的时候你打蓄力必躲
姐们，牛逼！
哭了，小妹妹牛犇！
别张口闭口读指令了很搞笑
因为那不是激光
这条路，太苦了
讲究
泪目
牛逼
你是二郎神他奶奶
泪目
牛逼！！！！！！！！！！！！！！！！！
我这双手属实是废了
看的热血沸腾
你家这个二郎神怎么不放大招
4把过的
这这这 好强啊
云生 玩一下
这才是真正的“意”
打开生思路，你要我好生羡慕！
嘴里才是真金箍
她改了键的，不然够不到
斗战胜佛还有好几个呢，看别的up主科普就来反驳别人，二郎神不一定是杨戬，那就问杨戬是不是二郎神吧
你才是真的天命人
我擦
WC
真正的打破天命
这是真逆天了
啊，还能切换棍法？？
这是残躯大圣
!!!!!!!!
牛逼牛逼
你是真大圣啊
燃起来
1
我是废人好不好
牛逼！
我要～这俩币有何用
？？？
首页看到，过不过我都给投个币
妹妹直播永劫无间的 也很厉害
为什么我的杨戬只吃一次定身
你是真的天命人！太厉害了
真大圣，佩服佩服
永劫无间的妹妹！我刷到过你
不是哥们儿
太强了，现在葫芦都没喝一口
你才是齐天大圣
有点假 怎么控制方向
66666
你牛逼
致敬天命人
眼睛没看过键位
厉害
卧槽！太牛了！
无以为敬，硬币2个，请查收
太强了
我让人侮辱了
你看，天命人替你用拳头打他了
撒花
云生，整个活！！！！！
二郎 你丸辣
给我看哭了快
还以为是 开挖土机 内小子唱的呢
还好多药呢
啊？
二郎：女侠好身手
666666
人人都是大圣！
这是真天命人
我承认我是个废柴
-8---------
比我厉害
无敌了
太励志了
漂亮
让我想起了消防员同志，我已经忘了他叫啥了，不知道还健在吗。你应该搞套他类似的装备。
我以为你要捣蛋
牛
没蓝了
太稳健了
天命人
立棍本来就可以多部分伤害的，介绍中也有啊。
Nb
卧槽 帅炸了
虎先锋在杨戬面前算什么？不过虎先锋你能打杨戬啊？
太强了
强啊
我身无拘
玩永杰的底子，厉害
你才是真大圣
能脱身牢笼，便是大英雄！
啥？
太好了，她玩到真的了
风灵月影宗，斜月三星洞，你是天下第三
牛逼  天命人
你是真正的大圣
稳了
这。。。
？？？？？？？？？？？？？？？
你才是天命人，孙悟空要成为你才对
真的牛逼，看得我泪目了
牛皮
哎？没想到这两首能连一起
？？
帅帅帅
有多少人把boss打到这点血，葫芦没过半或者用光的？up很强！
这个真的厉害
熟练的让人心疼
牛牛牛
鬼知道她打了多少遍，才练成神功的
真稳啊
666666
666666666
好厉害！！！！！！
牛的牛的
不是无伤差评
所以啊，还是太简单
为啥看你打游戏  我却哭了
nb
黄眉套确实好用的
？
@破打鼓的
厉害
啊？？
天命人牛逼！
啊？
太强了。
就问你们没过的惭愧不
我杨戬卡了两个多小时....UP这个真的厉害。。。
啊？
阿喵加油！！我身无拘 吾道无穷
卧槽，我跪下了
三连支持
↑上nm个头（doge）
加油
主播是残疾人吗？太励志了！
女武神！
666666
天哪
太厉害了
强者，请收下我的俩个币
天命之战胜者
这条路，太苦了
帅
这个二郎神意外的顺眼
投币投币
太厉害啦
6666666
我是定身轮椅棍花流，配上回元气的酒才打过
太牛了姐
等等，甚至甚至还没喝酒
66666
太牛了！！！！！！！！！！！！
什么！（哨音）
讲究！
6666666666
还运气，你菜就是菜。人家一根筷子都比你玩儿的好。
这么厉害的吗
你就是悟空了
这币我留它何用！大圣拿去！
你是真正的大神
厉害啊
已经卷成这样了吗？
太厉害了
毅力可嘉
已投
啊？
真的厉害
磕头了 哈哈哈
啊？
燃起来了
甚至不能一边移动一边转视角
漂亮！
6666666666666666
太牛了，没手都行
佩服佩服
燃起来了
太强了
喵姐，残奥电竞比赛有你我必看！！！
致敬全网第一大圣
太厉害了
牛逼 佩服的五体投地
太强了！！！
还能这么玩？
？？？？
熟练的让人心疼，这要死多少回才能练出来
云生，玩一下
厉害！
讲究
你才是真正的大圣！
啊？
[ohhhhhhhhhhhhhhhhhh]
杨戬是封神榜里的吧
天命人，大圣啊！！！
666
66666666666666666666
牛牛牛
这条路，太苦了
牛逼
看得出来很急
顶你上残奥会
真牛逼！
牛
逆天
游戏结束了
这还是人？
牛批啊
这姑娘永劫无间玩儿的贼6
就问还有谁不服的
泪目了
牛批啊 真的佩服
沙子怎么一直进眼睛里
哇，厉害了
牛逼
杨戬：你不要过来啊~~
强！！！
强！！！
还有保命丹
我们是冠军！！！
哈哈哈哈对不起
666666666
一键三连
是真大圣
nb
加油
？？？
什么？啊？
她才是天命人！！！！
6666
虽然是公式做题，但比我打得好多了
身怀奇技，与天抗命，齐天大圣
这你还不投币，你在等什么？硬币留着发霉？
盲打啊，我了个大……眼睛都不用看键盘的
天行健，君子以自强不息
天命人就是你，这币必须给
无敌了
我真的想啸
准确点鼠标我都觉得难
我想说我绝对不是天命人，她才是啊
我不开风灵月影都过不去
难以想象UP做到如今这个程度，付出了多少的努力和泪水。
真就让你两只手
连残疾人都不用风灵月影了，那些用了的“残疾人”该有多羞愧啊。
游戏结束
芭蕉扇！！！！
啊？
第一次充电
第一个充电视频
厉害啊
牛逼！！！！
大圣威武！
BGN好评！
666
我打到空气墙都出来了都没打过杨戬
我身无拘，武道无穷！
刚说我怎没投币，结果发现不知道啥时候我已经投币了
就这么站着太傻了好歹闪避一下
必须关注了！
泪目了 致敬！
你才是那个天命人！！！
不是三眼哥就定定站着吗
太乙救苦天尊
加油呀阿喵
最新视频UP主通关了！！！
真牛比！
法宝流啊，那没事了
这次真的流泪了！
跪着奉上两个币！！
牛逼！
卧槽，这完美闪避
大头磕一个！！！
这歌是up主唱的？
老师傅吃药，
这两只手留你何用？
神！！！请收下我的膝盖
棍花真他妈帅！
加油！
好家伙，这也能拐进《云宫迅音》…
我为我的这双手 感到羞愧
真 天命人
牛逼拿口打遊戲···牛逼的確牛···
这音乐更吊，佛主预谋
啊？
你好强！！！！！！
[ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh!]
好曲儿
这不就是天命人吗，跟命运抗争，我叫这天再也遮不住我眼，牛啊
看我硬币之力
真。天命人
啊？？？
牛逼
张翰都打出原型了
打开新思路
还可以暂停吃药
这是哪个键，在往杨戬那走
这棍子比我打的好看
燃起了了
她谦虚了，她直接说全网全世界第一人
你就是齐天大圣
[OHHHH]
[OHHHH]
不是姐妹儿别太离谱
牛逼
嗑空了...
天命人！
太励志了吧
。。。我到现在还没过呢！！！
厉害
牛的
跟人家一比，我连手残都不配
同屏，撒花
666666666
厉害
卧槽
卧槽？
不是姐们
口渴了
二郎真君要破防了
有手就行，没手也行
BGM也很灵性
三连送上
天命已成，来日尽是坦途！
说杨戬放水的自己下个游戏吧，真是脑子不好，承认她厉害有这么难吗？
泪目了，她都没用轮椅流，在座的是怎么有脸用的
全员磕头
你才是真正的天命人
我要开修改器玩！不开第一个boss都打不过去
牛逼
这BGM听得我浑身发抖......
额。。激光也能花棍破？
投币吧
.
这条路，太苦了
牛的
啊？
6
向你致敬
真天命人
真天命人！
这里没按方向键怎么侧翻的
历害
一口血都没喝
这得挨多少打才能成为角儿啊
BGM我给一百昏
杨戬好像是醒李
加油妹妹~！
我对你的敬仰犹如滔滔江水连绵不绝，又如黄河泛滥一发不可收拾
最强天命人
必须投币给妹妹
芭蕉扇:我来助你！
太厉害了
厉害
屏幕前的 真天命人
我为她振臂高呼！！！
小姐姐好棒！！
我命由我不由天
啊？
牛比
惊为天命人
第一次看别人玩游戏看哭了
不屈不挠的灵魂，真正的天命人，加油
好强！
晕。。。
？
稳啦
。。。
一板一眼啊
[ohhhhh]
难以置信的难度。都是靠嘴和棍子。。还是鼠标
赶紧投币 给阿喵炖鸡汤喝点
逆天改命为真大圣
阿喵太强了
我身无拘 武道无穷
看标题我就瑟瑟发抖了，太强了
太帅了
太棒辣
阿喵打杨戬打了25次哦
讲究！
膝盖给了  佩服
不敢想象 为了走到这一步付出了多少汗水
超越天命了   佩服
6666666666
卧槽，跟她比起来，我更像残疾人
啊？
6666
强
猛到无以复加
一起评论区爱特官方呀！
牛蛙
这一路太辛苦了
吴迪吴迪吴迪吴迪吴迪吴迪吴迪吴迪吴迪吴迪吴迪吴迪吴迪
加油！
立棍居然可以躲伤害……
无话可说！
不是bug，变石头杨戬不会打你，因为打你会涨棍势
我才是残疾人吧！
天啊！我都泪目了
杨戬是不是放水
女神！！！
我双手都过不了，佩服
无敌了
讲究
6666666666666666666
看哭了
66666666
过了！
啊
怎么可能
？
真大圣！
恭喜天命人！！！！
太牛了太牛了
啊
我们是冠军！！！
你这猴子，真令我欢喜
牛逼
我没记错的话这姐永结也挺猛的
打开生死路，你让我好生羡慕
刚想点赞投币，发现已经点过了
牛逼，阿喵大圣！！！！
牛逼，阿喵大圣！！！！
牛逼，阿喵大圣！！！！
比我厉害.…
不是哥们
我被打成狗了
太神啦
我是fw
太强了
佩服
比我牛逼一百倍
啊？牛 的
杨戬是西游记二郎神的一种二创
感觉不对啊
牛
nbnbnbnb
知道为什么吃还魂丹了吧？
她不好操作，3阶段很可能喝不上酒暴毙的
