这是伴奏，不是垫音，哪有钱搞那个
太美了！璐璐姐
这个姐姐真的很厉害啊
好听太棒了55
姐姐们太棒啦
姐姐们加油
天哪Fiestar真的做到了！！！
太厉害了！！！
回归粗卡
回归大发！
主唱牛啊
这姐好牛啊
姐姐好棒
身材完全不输现在女团
好听！！
应该给姐姐个手麦
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
加油加油加油！
姐姐们加油加油
冲冲冲
真的很棒！！！初卡！！
linzy姐姐在做音乐剧演员！唱功绝对棒的
最后璐璐姐的笑容，好感动
第一次一键三连哈哈哈哈
这是半开？你懂不懂？这明明全开
回归大发！！！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
好好好大好特好
啊！！！！！！！！！！！！！
太美好了
我要哭了
IMPOSSIBLE IS NOTHING!
还是老团听着舒服
这个姐姐抓镜头了！
画质有点糊啊
IMPOSSIBLE IS NOTHING!
都好稳！
跟现在四五代团的风格完全不一样
长裤子姐姐的声音好有质感
姐姐们状态都很好诶，很漂亮
太棒了
送姐姐上热门
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
支持!
太帅了！！！！！！！！！！！！牛壁
都没变 还那么美
棒棒棒！
回归大发
希望姐姐们被看到
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
好可爱好可爱！
真好，各方面都被鼓舞到了
曹璐姐姐，希望这个舞台是起点，大红！赚大钱！
有点想哭…
璐刚才那一幕没得足以当封面
真的好美啊啊
姐姐们冲
唱的好好
姐姐好可爱姐姐好漂亮！曹璐一起走花路吧！
超帅
好漂亮好养眼啊
好美
啊啊啊啊啊啊啊啊啊啊啊
lulu美丽
贴脸梦幻姐姐
这姐大声，这姐行啊
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
这姐漂亮漂亮漂亮啊
yezi行啊！
为啥会流泪啊我？努力的人就应该给我红！！！！！
这姐是不是唱音乐剧
太棒了
祝贺你
全开麦
每个人都好漂亮养眼
开麦开麦开麦开麦！
全开麦好厉害
看看 这才是开麦啊
一键三连了
鸡皮疙瘩起来了
真正乘风破浪的姐姐们
姐姐走花路！
璐璐好美啊啊啊
大家好漂亮啊啊啊啊
太飒了
这不是三代吗
Lizzy姐姐简直稳如CD
是开麦
好棒好棒好棒
太棒了，想哭
这才是乘风破浪
主唱好厉害啊
帅死啦帅死啦！！！
太棒了太棒了！
到底是谁在吹韩国的运镜啊 姐姐们这一段运镜真的不行
回归大发！！！
这里抓镜头绝了 能不能单独截一段发外网火起来
这个主唱是真的开大麦
姐姐们美疯了
姐姐们回归大发！
加油加油！
加油！
mv的衣服
好漂亮
这个动作帅死了啊啊啊啊啊啊
中气十足的感觉
好酷的低音rap
我去 好好听
我嘞个豆儿啊
主唱姐质感提升利器
支持！
曹璐啊啊啊啊
感觉是全开耶
肯定是垫了
虽然是路人也觉得炒鸡感动
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
哇啊啊啊好棒啊！！！！！
回归大发！
太棒啦
好漂亮啊
太厉害了
圆梦了呜呜呜呜
好牛好牛好牛
为梦想奔跑的样子就是很热血啊！！一键三连！！
好糊啊看不清姐姐们的美貌
姐姐加油！下年乘风破浪
好美
回归大发！！姐姐们最棒！！
姐姐永远支持你！
仅此一次打歌 打歌要给钱的
姐姐们都太棒啦
曹璐姐姐比录mv瘦了好多
想哭很感动
没有韩团能全开麦
开麦啊，三代日常发挥
好美
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
这次回归就是最牛的！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
C位！！！
迷上了姐姐们
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
好棒啊啊啊啊啊
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
一键三连送欧尼上热门
姐姐们好棒，冲吖
助力热门
啊，美丽，实在美丽
好听
门面姐姐真好看呀
又在b站流泪了呜呜呜呜
太好听了这段
这是三代
啊啊啊啊啊啊啊啊啊啊啊
完全盖过垫音了这位
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
给姐姐一键三连啦
不容易啊
要是能拿个一位就圆满了
后面多几个打歌吧
这是三代团
好听啊，姐姐们
这才是rap
当年这个团怎么就没火起来呢
个个都好美啊
谁懂这一指！好帅？！
真的挺好的
好听好听好听
运镜真好！
又一投币比赞多
长裤子姐姐是我们的双主唱之一，林智敏姐姐，现在是音乐剧演员
大发！！
这么强的团，大海遗珠
这是三代
这个清晰度不高啊
好帅啊
这麦开的，实打实
哇塞好听
美极了
我比姐姐们还紧张
恭喜恭喜！！！
LULU听这么多遍才发现你没词啊
想看弹幕，又想看姐姐们
来了
但是她跳的框架力度都很好
回归大发！！！！
哇塞，等了这么久！！！！
有生之年
姐姐们太帅了
有姐姐还在唱音乐剧的，功力包有的
加油加油！
这是三代
这才是该看的
回归了！！！！
太棒了姐姐们
上热门！！！
这个姐姐好强
主场气息又稳声音又大 太享受了
那我们跟这个叫0.9麦吧，有垫音，但是唱得很实诚
半开，但是开不开的地方也很清楚
姐姐们回归大发！
姐姐回归大发！
呜呜呜太帅了
支持你们！！！
姐姐唱的好好
yezi！
太美了姐姐们
来了来了
每个人的身材都保持得好好太牛了
这不比乘风破浪牛多了
爷青回
好美
姐姐冲！！！
支持姐姐
我靠我靠我靠，回归大发！！！！！
来啦来啦
啊啊啊啊啊
再次起鸡皮疙瘩！！
梦回14
全开啊，牛
rap帅
恭喜！！！！！！！！！！
主唱好厉害
为啥只能投俩币
大发
我鸡皮疙瘩都起来了，姐姐们好棒
好听！！！好美！！！
有梦想的人了不起！实现梦想的人更了不起！
做得好！特别棒啊姐姐们！
长袖短腰外套的姐姐是我们门面担当
这个镜头抓的真的很好
好听极了
好实在的开麦呜呜呜太感动了
开麦很强了
好奇怪 为什么你的那么模糊，我刚刚看其他的视频好高清的哈哈哈哈
加油加油加油加油加油
舞台的妆比MV更美
全开麦
这个姐姐好稳好厉害！！！
这个妆太美了
这里笑得超甜超可爱
现在镜头给到的短发姐姐，是组合里面的老幺，rap
一鍵三連^^
怎么可能没有垫音
好听！！！
现在出场的是我们璐璐姐姐
加油姐姐们！！
姐姐们棒棒哒
有垫音的 半开
姐姐这两句太好听了好有质感555
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
《“‘、
太棒了
有梦想就是了不起！
真的太热血了
太帅了
我爱队长
好想哭
先赞后看
投币！！
好棒好棒！
太强了
音乐剧女王
爽了
有梦想谁都了不起
不是全开 有垫的 咱们实事求是哈
姐姐们太棒了
这明显不是全开麦呀，很大的垫音，
好美
大发
好厚实的全开麦
有梦想的人了不起！！！
太厉害了
太美了救命
视频有点糊
恭喜上热门！！！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
加油加油加油
垫音比较大，但也能听到姐姐们的歌声
因为Tara知道的璐璐，这首也挺好听的啊，二代赛高！
大发
好喜欢这个姐姐的音色
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
这就是二代团的实力！
好激动哈哈
来了来了！！！
好厉害啊
姐姐们真的都好棒！！超美的！！！
好喜欢长裤子姐姐
虽然但是就是半开啊，不过姐姐们做到了原声压过垫音，很不错了
哈哈哈看得出来姐姐们也有时间没碰舞台了。不过总体不错 上多了会熟
曹璐好漂亮！
又美又飒
爆爆爆！！！
大家都好棒！
终于来了
啊啊啊啊啊啊期待好久
姐姐你是我的神
一开口就知道是全开麦，太牛了
这麦开的好爽，姐姐们厉害！
姐姐好美!
回归大发！！！
姐姐就要大声唱!!
姐姐冲啊
好会抓镜头！！帅
满满回忆！！！！
太棒了fiestar，实力与美貌兼具
这才是真正的乘风破浪啊，这才是真正的浪姐啊
现在有垫音 开头两句垫音都没有的
！！！！！！！！！！！！？
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
上热门啦！！！
一直都超喜欢最后这段高潮搭配YEZI的RAP和音
真的很好听
全开麦 有部分和音很正常吧
啊啊啊啊啊太美了
加油！好棒啊
加油加油加油
姐姐们超级牛
好感动啊，其实我们三十多的女孩也还是很年轻！
火钳刘明，四代粉前来报道 祝贺
上热门
救命啊啊啊啊啊啊
前辈整顿打歌舞台开麦现状
希望姐姐们这次回归后可以有更好的发展
linzy!!!
好棒啊！
啊啊啊啊啊啊
惠美走位错了哈哈哈哈哈
姐的Ending pose 超抓眼球
开头有一点点垫
回归大发！
太棒了，姐姐们
璐璐姐这一句好苏啊！！！
都是很健康的身材
Fiestar回归大发！Fiestar回归大发！Fiestar回归大发！Fiestar回归大发！Fiestar回归大发！
姐姐们太强了
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
家人们开头见
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
敏智欧尼不愧是音乐剧演员
姐姐们都好漂亮！！超级棒的！！
多少年没看到那么真实有诚意的舞台了
啊啊啊啊啊啊啊
今天我们都是你们的粉丝
555555
厉害
全开，那是伴奏
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
自带混响
姐姐们真的太棒了
看哭了呜呜呜
连垫音都自己唱
好棒！！！！！！！
冲冲冲
来支持了，了不起
实现心愿梦想的感觉一定很好
好好听阿
主唱大人啊
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
好感动啊
这个姐姐一开口好爽啊
曹璐姐花钱了就是不一样
看出来璐姐脱离舞台许久有些抓不住镜头了哈哈哈！
fiestar！！！
姐姐们太棒了！！！！
可怜和提线木偶三代的两大遗珠，要是大公司的歌早爆火
助力每个梦想，姐姐加油！太了不起了！
任何努力都值得被看到的～
三代的实力
这才是Kpop最好的诠释啊热血沸腾！！！！！
三连送上
太漂亮啦姐姐们
一键三连上热门
我焯
感动
全开麦！！牛！！
好棒啊啊啊
fiestar！！！
太不容易了！
应该是上传过来画质被平台压缩了，平台可恨啊
姐姐 都好美
泪目 这才是我心心念念的kpop
等到了
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
一个是全开麦加了点垫音！但是真的好稳！好敢！现在像这样的开麦舞台少得可怜~
回归大发
加油，得一位
上热搜
投币比赞多大家继续！
唱得太好了
原声大碟
好稳啊
美爆了
实在太热血了
姐姐怼脸太美啦！！！
回归大发
大发
璐璐好美！！！！！
太帅气了！
太好哭了
姐姐这个镜头抓到我心里去了
linzy真的好稳，好好听！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
这都算半开那很多团是0.25开
画质稀碎
姐姐太帅了！！！！！！
期待期待！！！
哭死！
画质怎么这么差
三连三连三连
姐姐好漂亮！！！！
上热门上热门上热门！梦想的力量！
好漂亮啊好漂亮！！！！
真棒
每个人！都在发光！！！
好喜欢长裤姐太对味儿了！
助力百万播放，一键三连送姐姐们上热门
好美啊啊啊啊
姐姐们超美的！！！！
主唱不亏是主唱
好热血啊
如果有伴舞就好了
好听，努力的人会发光，加油！！！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
一键三连送欧尼上热门
一键三连送欧尼上热门
一键三连送欧尼上热门
一键三连送欧尼上热门
一键三连送欧尼上热门
祝姐姐们永远财大气粗！
一键三连送欧尼上热门
一键三连送欧尼上热门
一键三连送欧尼上热门
一键三连送欧尼上热门
一键三连送欧尼上热门
咋这么糊
一键三连送欧尼上热门
这个舞还是得人多跳好看   单调了点  希望火起来！！！！加人进去！！！！！！！
我激动
赞赞赞赞攒攒
最后一个镜头璐璐笑得这么开心，我都快哭了，太棒了大家！
这个垫音我听着是其他姐姐现场合的 以前二三代团都是这样
一位
哭了
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
真的很喜欢这样的精神
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
姐姐们特别美特别棒
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
实力好强的姐姐
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
牛！！！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
这叫半开 但开挺大的
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
唱的好棒
好喜欢啊啊啊
漂亮
姐姐们超级棒
以后都走花路吧
支持一波
大家都好漂亮
姐姐们好棒！！
家人们一键三连开头见！
求爆爆爆爆爆爆爆爆爆爆爆爆爆爆爆爆爆爆爆爆爆爆爆爆爆爆爆
来了来了
太好听了
全开麦！！！太牛了！！
好美啊好美啊
加油啊
这个姐姐叫什么啊
真的泪目了
太牛了
Yezi!Yezi!Yezi!Yezi!Yezi!Yezi!
啊啊啊姐姐！眼神杀我！
Linzy欧尼太会唱了
啊啊啊啊
哇好好听！身材好好~
椰子还特意剪了短发我真的哭死
姐姐们唱的好！
心心念念的舞台终于来了
冲，姐姐加油
如果有应援就完美了
一位太难了，只是希望有了打歌的机会他们的事业能开多几多花吧
音源快逆袭！！！！！
这个姐姐颜维持的好好
天呐 身材都好好
来了来了！
有点不清晰（恨啊！）
太美了吧
越看越热血
果断一件三连，支持姐姐们的梦想。
啊啊啊啊啊（嘶吼）
唱得好厉害……
主唱大人!
一下看到作词作曲都是新沙洞老虎…唉
开麦了
来了来了，姐姐们太棒了
一键三连送欧尼上热门
太绝了姐姐们
这姐姐好稳啊
加油，希望以后有更多舞台。
姐姐好米～啊啊啊啊
这声压，好强！
好感动 实现梦想
身材好牛！！！
Fiestar大发！！！
太美了！
我来啦
垫了但能清楚听到双音轨
美美美
这才是二代啊……
yezi的rap太太太绝了
yezi！！！
这段好好听
大家都好漂亮，身材管理很好。
开麦舞台呜呜呜
好喜欢长裤姐唱的好大声好好听啊啊阿
真的好棒好棒！！
惠美欧尼唱的太好听！
是我手机问题吗
今夕是何年
太感动了！
感动！
好听
Jei好美啊
哇哇哇璐璐好美啊！
姐姐们好棒
感动死了
姐姐们太棒了！！！以后要越来越好呀
姐姐们好棒
三连来了
太棒了
好美呀
好有魅力
胸衣挺好看的啊。前面的朋友你是想特指什么吗？
来个璐璐顶起
开了，不过有垫音的
每个姐姐都很美！！！
终于啊啊啊啊
6年没打歌了  怎么可能一点不紧张
再加点表情管理会好一些
姐姐们太棒啦
恭喜
超棒！
姐姐们，勇敢大声唱，太厉害了
希望能拿个一位
全开麦啊，好牛
哇
全开麦的感觉好爽啊啊啊啊啊啊啊啊
这个姐姐太牛了
全开麦!
林敏智我唯一的姐！
姐姐们加油
全开麦好牛！！！
应该有垫一点
开麦！
状态好好
会越来越好的！
大开麦了
姐姐们好棒！
有垫音，不过开麦声很大不输垫的
全开麦啊
姐姐超棒！！！
天呐，真是看哭了
好爱姐姐们
太棒了！
linzy的麦真的稳啊。又稳又美
姐姐你们太棒了！！！身材好 唱的好 跳的好！！！！！开麦啊啊啊
全开麦吗？好稳啊
明明是全开麦。
璐璐牛牛牛
啊啊啊啊啊姐姐太牛了
姐姐超美
越听越好听
来了！
再来亿遍！！！
了不了不起的中国女人曹璐牛逼！！！！！！！
