准备了客气
每次都要暂停看下面一堆字哈哈哈哈。
《你》
反正不是你（
哈哈哈哈哈哈哈小杨太有梗了
咬牙切齿”
小杨想为难
感谢甲方催更！！！
阮阮！真的很棒，现在的视频很好！很爱看的！
呜呜其实我想去，，小杨加油呀，多来几个嘉宾，求求辣
阮阮做的真的很棒了！！！
mc喝水配音员——阮阮
阮阮回答真的都很认真对待
这孩子怎么在潮team还瘦了
好好笑
终于不是马浩宇了，改羊浩宁了
《反正不是你》
《我讨厌你》
《我讨厌你》
咋都这么勤快
时间不一样
《真实》
热烈的马
穿长裤了哈哈哈
上次有人要哭，这次有人要哭，樟脑丸报仇了（
确实没有节目效果
阮阮发型到后面遍了
《你是帅逼》
《嘶～～～～都有》
哈哈哈哈哈哈
《青梅精》
缺点是有口腔溃疡
《我讨厌你》
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
hhhhhhhh
《菜里吗》
问题问的比鲁豫还鲁豫了（笑
阮阮的发型可以 我喜欢
《好恶毒》
薄纱了
给孩子整紧张了
hhhhh
《我讨厌你》
《小杨没话说》
《小杨去世多》
贯穿全文线索
“我讨厌你”“我忘了”“口腔溃疡”“………樟脑丸的沉默”
《小杨趋势》
口腔溃疡吃维生素B族，很管用！！！
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
我讨厌你
。
这四期分别是：小潮想睡觉，笑傲想大叫，嘉庆想忘掉，阮阮想死掉
看到你就想假笑
我尽不知道他是气的还是口腔溃疡
我讨厌你
《小羊角暗森》
快一年了还新呢？
《用痛掩饰伤》
惊！某樟脑丸涉嫌80新人
不准欺负阮阮！
这倒不假，雀食是小学同学哈哈哈
万里长城永不倒。各位天才，大家好外滩。
缺点口腔溃疡药
《我们从来不会为难嘉宾》
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
小杨奇趣多？
这里遮罩做个三角形不错
生日有视频看，好耶！╮(‵▽′)╭
《口腔吗还是》
哈哈哈哈哈哈哈哈
tEam高产！！！！
《配乐：每期都一样》
《 制作特效：制作特效》
哈哈哈哈哈哈哈哈
笑成大粉了
（嘶）
还是烫的还是烫的！！
笑死我了啊又口腔溃疡了
《这个世界上最好笑的笑话》
笑死
不行了，这段真的笑死人了
哈哈哈哈哈哈哈哈哈哈哈哈
高斯：这个事儿我知道
内耗
问题感觉真的很尖锐
《我讨厌你》
阮阮融入的很不错！加油！
谢谢
《我讨厌你》
感觉软软很适合这种输出观点类的视频，认真回答问题的时候反而比故意整活那种更有节目效果
team旭旭多
《保留节目：我讨厌你》
考场作文现状
AUV
好萌啊阮阮哈哈哈哈哈哈
小杨笑死我了……
我讨厌你
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
反杀（）
明明是个可爱死的人
《我讨厌你》
《伱仕铩弊》
我讨厌你
《还没想好》
《马头人羊浩宁》
《那是你的问题》
哇
没有！！！特别喜欢你！！！
小杨传统艺能
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
阮阮：疑似失去所有力气和手段
《水滴鱼的认可》
他怎么做到每个视频长一模一样的。
水滴鱼的凝视
所以阮阮一直在口腔溃疡？！
《扣》
《不为难》
不是一个卖吃的的一个，二手平台，他俩怎么合在一块的？不是啊，这有点离谱吧
《不要害怕，不要紧张》
笑不活了
意义明确的特写
还 真 是（来team早晚会有的双下巴）
红红火火恍恍惚惚哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
《小杨趋势》
我印象里最早出现是那期爬爬垫，贾庆天气之子
怎么一直说这个
阮阮的反击
《鄙人一向待人热忱》
《这是个非常尖锐的问题》
啊啊啊啊啊怎么开头就这么好笑
《我讨厌你》
救援！救援！（阮阮音）
笑死了，怎么和贾广大一样
喜欢阮阮喜欢team得所有人！
小杨的尖锐刺伤了阮阮的口腔溃疡嘛哈哈哈哈哈
《小羊角暗森》
《思考的阮阮》
《水滴鱼的疑惑》
《反正不是你》
我们从不为难嘉宾
《水滴鱼的凝视》
不是哈哈哈哈哈哈
宗旨：我讨厌你
《展示口腔溃疡》
《不为难嘉宾》
《开始为难》
没有（点头）
《我讨厌你》
《我忘了》
没有（点头）
哈哈哈哈
小杨去世多，阮阮我来说
不为难嘉宾
《没有为难嘉宾》
所以我讨厌你doge
阮阮：我讨厌你
我讨厌你
确实
绕不开了
好烫好烫
贾庆：这个节目太有意思了观众朋友们我想一直回答下去
ok，懂了
我讨厌你，我忘了，口腔溃疡哈哈哈哈哈哈哈
烫！
过于尖锐了
后面有马哥照片
我是鲁迅，我喜欢周树人
哈哈哈哈哈哈哈哈哈哈
《我从来不为难嘉宾》
阮阮是不是又瘦了感觉
我讨厌你
楊哥，下次想看皇哥的採訪(謝謝)
哈哈哈哈哈哈哈哈哈
还好吧，觉得挺不错的
芜湖～
反客为主
<素質tEam>
马头人 羊浩宁
哈哈哈哈哈哈哈
倒反天罡
e
好
<馬頭人、羊浩寧><作制效特>
URBBRGROUN
《马头人》《羊浩宁》
怎么办？这个真有点心动了
阮很棒的，繼續加油就好，不要太過焦慮
越来越好！
烫！
笑死了
哈哈哈哈哈哈哈哈哈
小砍（即答）
跟我好像wwww
不是 哈哈哈哈哈哈哈哈哈
<我們只是比較注重錢財>
针对rr！？（bushi)
哈哈哈哈哈哈哈哈哈哈
我忘了
《作制效特》《还没想好》
攻城师
好腼腆啊阮阮
耶，阮阮也！
什么东西啊哈哈哈哈哈哈哈哈哈哈
主持人笑场了？
<在新環境裡難免會有些焦慮，但這沒有不好，表示你很看重熟悉環境這件事，慢慢來就好，不要太苛責自己，加油你們都很棒>
哈哈哈哈哈哈哈哈哈哈哈哈
《你》（即答）
7777777
《7》
哈哈哈哈哈哈哈哈哈哈哈哈自恋
我去！天才！
每天晚上变得感性～（报意思串台了）
阮阮专属溃疡音效
谁的幸运数字是7？
卜卜卜卜卜卜卜卜卜卜卜卜卜阮阮我相信你！
《不为难》
0. .
啊?這...這標準這麼高嗎?
哈哈哈哈哈哈哈哈哈真实嘉宾
好烫
来辣！
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈来啦！！！！！
突然发现左下角有专治大便头套的小帽
小小潮爱生活
我讨厌你
10个小时前的还热乎
哈哈哈哈哈哈哈哈哈
<不愧是皇師傅帶的>
我这一口差点没喷出来哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈
我去我笑死了HHH1
hhhhhhhhhh
今天怎么没盒饭？！
热忱（chen）
好烫好烫。
笑死我了，阮wwwwww
<重點提問>
好厉害
烫烫烫
《中心思想：我讨厌你》
这个节目的主旨不是整小杨吗！！！
尖锐的问题再次刺向口腔溃疡。
口腔溃疡咬几下好得快
哈哈哈哈哈哈哈哈
我讨厌你（）
哈哈哈哈哈
<真實的不為難>
《贾庆》
哈哈哈哈
《红了》
《阮柒柒》
感觉等一下又会有：我讨厌你
<個人挺喜歡的，可能就是剛好都是我喜歡的類型>
《:）））））））））））））））））》
哈哈哈哈哈哈哈哈
主要是类型和其他艺人不太一样，刚开始会有点不适应，后面就好多了，team需要这种风格的人
急得他口腔溃疡都好了。
我猜到了哈哈哈
好颠哈哈哈哈哈
作制效特
<沒關係，不用這麼大方>(緊張冒汗)
多吃水果别得口腔溃疡
我讨厌你
《这个视频可以骂人嘛》
<口腔潰瘍:阮阮的常駐嘉賓>
泰国丸美
扎嘴了问题
节目精华
（斯——）
各位不要总一谈感性就INFP，大部分F人都能感知情绪，蝴蝶也很坚强的，拒绝刻板印象
忘记买救护车了
为什么声音像北子啊
因为我讨厌你
水逆指被小杨角暗森采访了（bushi）
又双叒叕已经开始笑了
忍.............
我是infp-t
《特效制作：作制效特》
吹牛逼
一看阮阮肯定又口腔溃疡了
一
+
忘财
审问录像
爱自己
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈我也是老会咬到肉，然后就溃疡了
我讨厌你
《天才》
反正不是你
《非常杰瑞的问题》
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
还好回答的毫不犹豫，不然杨哥又得为难阮阮了（doge）
我现在在笑了哈哈哈
嘶........
荔枝凉
不是，我也是
我也是
《他就是》
跃跃欲试
《小杨角暗森》
《反正不是你》
《我讨厌你》
救援！（阮阮音）
pua式采访
空瓶
性感的部分
砸门的视频
我也是！！！说话都疼
我也是
痛上加痛
当时也妹有team啊
《小杨角暗森》
笑死我了
这玩意还有主题门店吗
《你》
哈哈哈哈哈哈哈哈哈哈
我逃不掉，你也逃不掉！
哈哈哈哈哈哈哈哈哈
我讨厌你
0-
《从来不会》
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
阮阮怎么跟马浩宁一个肤色了
哈哈哈哈哈哈
不用谢
烫烫烫烫烫汤烫
我讨厌你
哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈哈哈
尖锐的问题扎到了口腔溃疡（？）
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
烫
《》
哈哈哈哈哈哈哈哈哈哈
好烫好烫好烫好烫好烫
哈哈哈
《完形填空》
把快乐建立在别人的痛苦上
。
“我讨厌你”
最近好高产的感觉
朕来了，好早哦
《马头人》《羊浩宁》
阮阮忍者哈哈哈
《正能量 剪进去 求你了》
嘶——
你在为难我
今天的好烫好烫
为什么感觉剪辑有点卡？⊙_⊙就有种切割痕迹那种
《用痛掩饰伤》
小砍和阮阮不愧舍友哈哈哈哈哈哈都把杨哥整笑了
阮阮给我一种口腔溃疡的感觉
《倒反天罡》
这期真的很好笑
我也从小壆开始看的。
《配乐：每期都一样》
好烫好烫好烫
《小杨去世》
哈哈哈哈
《噢你没家》
《我没有在马哥那边说他任何好话》
谁家弼马温？（孙悟空）
谁家弼马温？（孙悟空）
《没有节目效果》
[哦]
背诵课文
《谁的名字后面带7啊》
好烫好烫
6000+人出来
简称：说人话
《我讨厌你》
谁家弼马温？（孙悟空）
……好像，雀食
喜欢这个
《小杨是个天才8》
《为难嘉宾》
宗旨是:我讨厌你
《谦虚，自信，尖锐的问题》
，，，，，，，，，，
回红字转转早有手续费了
我讨厌你
问题很尖锐，太扎嘴了
《我忘了》
尖锐的问题刺到你溃疡了吗（
哈哈哈哈哈哈哈
《小杨角暗森》
不是哥们
不是很嘎嘎
意义明确的特写
。
小杨：有犀利话说
别给阮阮整的更上火了
《马头人》《羊浩宁》
哈哈哈哈哈哈哈哈哈哈哈哈
又想到当时去新疆的那时候了
反正不是你
MC吃东西喝药水的音是你配的吧
感觉是剪辑
这个采访结束又长了两个溃疡（
为什么感觉有点剪辑痕迹
一年的新人
6000人再见
热忱（chen）
笑的我打鸣
贾庆？
《服装:每期都一样》
万里长城永不倒，各位天才大家好！
前面steam笑死我了
《我讨厌你》
《我喜欢你》
你真的不知道谁的幸运数字是7吗？
背后的玩偶表情跟小杨好像
上一秒还是6000人+现在就7000人+了??
怎么这里也有村里人
展示口腔溃疡
疑似阮阮眼镜蛇
憋不住根本憋不住
不规则，姿态
我讨厌你
能抽到樟脑丸吗？
《真实嘉宾》
我最近也老咬脸上的肉
不是，转转和旺旺这几个字咋这么搞笑呢
小砍:阮阮没有给我钱
阮阮！！！
不为难
好烫好烫
1
《阮阮爱吸气》
那新疆呢？（严肃）
好烫好烫
1111111111
我也小学，当时马哥要中考，还有马哥QQ
桀桀桀桀
我要笑死了
二代高斯
九时烫
九时烫
九时烫
拮据
好烫好烫好烫（最早的一次）好烫好烫好烫（最早的一次）好烫好烫好烫（最早的一次）好烫好烫好烫（最早的一次）
九时烫
好烫好烫好烫（最早的一次）
我要看海皇
好烫
热忱
真诚发问の阮
《水仙》
卡痰
谁采访谁？倒反天罡（）
阮の疑惑
连招预警
嘶～～
好久不见啦阮阮
小杨趣多多
阮阮已经口腔溃疡多长时间了？
反正个人信息也是二手的，早就泄露了
哪壶不开提哪壶哈哈哈哈
《为难嘉宾》
666
你需要……（口腔溃疡）
偷感好重
斯儿:唉？我下颚线呢？我记得我有啊，唉？
哈哈哈哈哈哈哈哈哈角暗森哈哈哈哈哈哈哈哈哈
好烫好烫
《糊弄人》
孙悟空！
阮阮的回答好正经啊
"“我是你的粉丝"""
我讨厌你
《我讨厌你》
怎么一瞬间口腔溃疡好了，说这么利索
我从小看着你长大
我讨厌你
感谢甲方催更
（巴拉巴拉）（嘶）（巴拉巴拉）（嘶）
《谢谢》礼貌の阮
《自首录像》
real
《谦虚》《自信》
《好》
《保留节目》
采访高欣(づ ●─● )づ
天才来了
简单说，开卷
贾庆～～～
《嘶》
小羊死了
真的在认真的分享
无人在意（doge
《耍大牌》
救命这期也好好笑哈哈哈哈哈哈哈哈哈哈哈哈哈哈
666
全文线索:口腔溃疡
阮阮选题需要有要求啊！
URBBRGROUN
《缺碘》
哈哈哈哈哈哈哈果然等来了笑点除了口腔溃疡
立体防御
我要在潮T正能量视频看到这句！
好早！
感觉阮阮确实需要调整和更加的有活力
这是一个非常犀利的问题
触发连招
懂了，人不仅要谦虚还要自恋
意义明确的镜头
《超高校级的幸运》
这怎么还给真心话整出来了 ，哪怕控制一下呢
知道大晚上憋笑好难吗，《反复趋势》笑死了
这句让我想起一位蓝色的故人。。
转运！旺财? 好运箱！
我讨厌你
哈哈哈哈哈
哈哈哈哈哈
倒反天罡
是尖锐的问题扎到口腔溃疡了是吗？
嘶…
鲁迅喜欢周树人
阮：我给你口腔溃疡
我也是
终于出四了
最想说的话：别得口腔溃疡
你是帅比
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
每期节目
空瓶！
666
《小杨角暗森》
我是盲人 这是鲁豫有约吗
你们是为了喜欢阮阮关注？还是为了小潮Team关注？
urbbrgroun
元元
书接上回
阮阮：尝试用牙齿骂人（口腔溃疡好痛）
哈哈哈哈哈哈哈哈
这下真的是  水  仙了
（咬牙切齿）
《谦虚》《自信（恋）》
《老板和摄影师互换身份》
哈哈哈哈哈哈哈哈哈
预测一波等会会问公司里最讨厌谁
666
还没好啊？
潮晟文化有限公司
whzy，我知道是你
像卡痰
吃小傲做的饭幸福得膨胀的（即答）
宗旨《真实》
你真的不知道谁的幸运数字是7吗
《 是我的完美下颌线和我的秀发连在一起了》
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
空瓶
bushi
《谦虚》
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
尖锐的问题
笑死我了哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
救命哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
比咸鱼好，咸鱼客服不像活人
《为难嘉宾》
7000
《我讨厌你》
diulilaomao
2分钟烫
《盒饭还没想好》
好烫好烫
这个剪辑好明显···
因为爱人先爱己(
我讨厌你
《我讨厌你》
可腔溃疡还没好呢
《我讨厌你》
《正能量，剪进去。》
最喜欢阮阮
好烫
《反正不是你》
他
《正能量，剪进去》
这个冷笑话讲的，还说没有节目效果
缺点西瓜霜
《作制效特》
好烫
梦回贾广大健忘症
《那是抠》
烫烫烫烫
哈哈哈哈哈
《  我      讨      厌       你 》
马笑
“嘶”贯穿全文
好憔悴 好潦草的阮
烫烫烫烫
意义明确的特写
天才是个阮阮7
9小时前
这是一个非常软的融入啊
《咋们》
阮阮建议转人工
Wow
哈哈哈哈哈小杨好冷
《两开花》
完了冲我来的
哈哈哈哈哈哈哈哈哈哈哈就是奔这个来的这句我讨厌你简直贯穿全文
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
反正不是你
甲方：转转二手机
《马头人 羊浩宁》
《新人》
热忱
你的麦很炸
《救援》
阮阮是个天才7
好烫
7000多人出来吧
小杨趣多多哈哈哈哈哈
阮阮长的好像贾庆
为了小砍
多去世（bushi）
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
他竟然不说我讨厌你
好烫好烫
阮阮有点白切黑的感觉诶
哈哈哈哈哈哈
我讨厌你
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
我超
我讨厌你
哈哈哈哈哈
《URBBRGROUN》
77是个阮天才。。笑死我了
INFJ软软！
等下咋感觉阮阮突然变了
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
节目传统
哈哈哈哈哈
零帧起手
哈哈哈哈哈哈哈哈哈哈哈哈
有什么名人名言自己想一下，我不会说（）
哎呀，全爆了
阮柿子（bushi
《盒饭：还没想好》
小杨眯着眼瘪嘴更像后面的大章鱼了哈哈哈
7000+
曲解都来了，“感性”被你定义了？
我讨厌你虽迟但到
‘
我也是这样
《我讨厌你》
好早
好烫好烫
小杨的问题尖锐的扎到了阮阮的口腔溃疡
每个人都要发挥他的作用的
SHUI
小杨的问题尖锐的扎到了阮阮的口腔溃疡
怎么还带个7啊233333
帅哥
我来了啊
甜菜（doge
笑死我了哈哈哈哈哈哈哈哈哈哈哈哈哈哈
]]]]]]]]]+
《嘶～～～》
羊浩宁
阮阮也讨厌脚暗森，哈哈哈哈哈哈哈笑死我了
早
求mean教程
这玩意竟然还有线下门店
王
自耗哈哈哈哈哈哈哈
贾庆
我讨厌你
口腔敏感哈哈哈哈哈哈哈哈哈哈我笑死了怎么想出来的
《嬉皮笑脸》
冷知识：小杨和小潮是小学同学
哈哈哈哈哈哈哈哈哈哈哈哈哈哈
阮阮！！！！！小杨！！！！你三连有了！！！！！！
好烫好烫
猜到了
软软晒的好黑啊
你辱骂我（Key音
不要长时间给水滴鱼镜头啊哈哈哈哈哈哈哈真的憋不住
《囚徒困境》
温的乎的
笑死了我的天
指这一下真的有必要吗哈哈哈哈哈哈哈
皇：我初雪啦
零帧起手
指着一下
我抄妳嘛
77是个阮天才
《全宇宙最专业的采访节目》
《特效制作：作制效特》
刚发现右边有字………
潮笑
阮阮：我讨厌你
贾笑）
这期太好玩了哈哈哈哈哈哈哈哈哈哈
够了我心疼软软
可惜更的时候我还在学校
笑死我了笑死我了
我也是完蛋了（
阮阮一会双管齐下了
《这个真没有》《盒饭:还没想好》
缺点：有口腔溃疡
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
软软口腔溃疡还没好吗
缺点？缺点钱
不会为难你
不要有口腔溃疡（
《盒饭：还没想好》
升华了
我走了哈我不打擾
《饭盒:还没想好》
《马头人》《羊浩宁》
kkk
笑死我了
《去世》
URBBEGROUN
。？
超绝气泡音
我讨厌你
记小傲想....之后有多了一个阮阮是个.....7
《我们从不为难嘉宾》
喵
救援！
求拖鞋链接（bushi
本文的中心句是口腔溃疡
口腔敏感
《嘶》
很犀利啊（小狗音）
阮阮太用力了老感觉特不自然
《我们不会为难嘉宾》
看到小杨的拖鞋一下就绷不住了
阮阮像西部响尾蛇哈哈哈哈哈哈哈
》睨湜濈毖》
哈哈哈哈哈哈哈哈哈哈哈
正能量，剪进去
触发连招
空屏
你现在的情绪是斯～
这个节目非常的严肃～
哈哈哈哈哈
《梅开三度》
阮阮想开花7
《小杨去点世》
《小杨没话说》
倒反天罡哈哈哈哈
哈哈哈哈哈哈哈
口腔溃疡还没好？
心人～
“尖锐角暗森”
水滴鱼：完了 冲我来的
水滴鱼：完了 冲我来的
问尖锐一词在视频中多次出现的作用（4分）
忘买救护车了
你俩不是小学同学嘛！！
阮阮：给我个礼盒，我拿谢谢跟你换
阮阮：我的口腔溃疡
二手的旺仔牛奶有吗
这样看来阮阮会不会也是INFP啊哈哈
sdjawiodjapjsjadiwaopjdp
其实比起最开始的高斯小傲，已经很好了
正能量剪进去求你了
占领无人区。
打仨未打卡建瓯盘纪录片建瓯盘
是劲大经典问皮哦啊接第五批
sdajwiodajwiao
我服了这个特写哈哈哈哈哈哈哈哈
已经开始笑了
大家搜爱我激动iaio
会斯～
深度就ad刷卡机爱哦
拖鞋
阮阮 买个维c吃吃就好了
叫大嫂家第四爱定级赛
固定节目:《我讨厌你》
变成我在笑了
叫大嫂家第四爱定级赛
海皇:这题我会。
(我讨厌你)
我讨厌你
叫大嫂家第四爱定级赛
哈哈哈哈哈哈哈小杨去世
上门来送个《汪》
精神小伙套装
烫！！！
《自恋》
好烫
《反正不是你》
《我讨厌你》
《我的麦很炸嘛》
《作为线索贯穿全文》
大家看右边——》
《 从来不为难嘉宾》
《尖锐》
完了这真的是天才
豹警官
来了来了！！
《还没想好》
我是你10年粉丝
《犀利》
《耍大牌》
特邀嘉宾：阮阮的口腔溃疡
《脚安森》
《我忘了》
《不为难嘉宾》
他甚至连7都带上了
《我总是大喊大叫吗》
《你的回答比较尖锐#
《为难嘉宾》
触发连招
《自恋》
《我讨厌你》
这得减了多少呀
小傲:剪掉了呀
呛到我了
《我讨厌你》
《谢谢》
哈哈哈哈哈哈哈哈哈哈哈哈哈
《我讨厌你》
《自恋》
要有下颌线
好热
我讨厌你
直接来吧！
没你水
十年老粉哈啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
这让我想到局话，话说多，不如少，阮一来，鱼**
《不为难贾斌》
《自恋》
《因为我善》
我讨厌你哈哈哈哈哈哈哈哈
我讨厌你
不是这个标题，我喜欢
《好恶毒》
笑死我
最早是海皇整蛊小潮那期吧，阮阮假扮私生饭
阮阮帅的
我讨厌你
传下去！阮阮喜欢自己！
把贾庆叫过来就笑了
人话：自恋（bs
不挺好的吗我觉得感我觉得感性和理性都要有
8小时！好烫
《自恋》
小杨趣多多？
好烫好烫
无法做到所有人满意，那就让所有人都不满意
《》无敌《无敌》《》无敌《》无敌
阮阮一共吸气了12次
我讨厌你
上个镜头的发型比这个好
那是穷
我讨厌你
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
小杨太沉稳了
《水仙》
相机震了一下
0　　　　　　1
没有没有，很喜欢你的
来了！！！
阮阮：试图扳回形象
我讨厌你
每次都会想到一句话
阮阮怎么总在口腔溃疡啊哈哈哈哈哈哈哈
7000多个人出来！！！！！！
百亿补贴中秋板
我讨厌你
