你猜他为啥年轻又有经验？
"命运对勇士低语:你,无法抵御风暴。 勇士对命运咆哮:我,就是风暴！"
上帝:蓄棍势呢，别急
其实当时的救生艇根本不够所有的人
↓巧了！我1900必须来捧捧场子
在悉尼真要是有布尔人，这不就闯祸了吗...
贝克兰德大雾霾原型
泰坦尼克号上的女士怎么不主动让出位置(doge)
这里的发射应该是翻译错误，launch在航海上的翻译是下水
夏尔 勒克莱尔（不是）
克总弱船，他克船（
干净又卫生啊
厂子致敬：你才是耐烧王
感觉放人也是依旧混乱，只能说坑吧，本身听错有一定合理性
前面刚说没装满是他用枪逼退部分人不让上船
泰坦尼克女性存活了60%，而男性只存活了个位数，真实数据这也有大女生造谣啊？
冷知识：约瑟夫的英文是Joseph，也可译作乔瑟夫。
原来是个英雄
拥抱过去，创造未来
<bro以为自己刷个边狱巴士幽默爆了
真不怪他，他已经非常负责了
相信柯学
你告诉我什么水能零下10度不结冰？
黑子说话！雪豹别叫！
《之前》《意外》所以第三艘果然也出事了
《确实顶级》
吸铁石，磁吸太后是吧
已下单，未付款，望白送，莫辜负（doge）
老科勒
scp基金会:你引起了我的注意，小子
望远镜.....
英雄
泰坦尼克号
上帝视角就是厉害啊↑
《干巴爹》
三哥特色
其实不算错 救生艇容量有限 谁也说不清怎么优先 到底救完妇孺再救男人 还是大部分位置给妇孺、小部分给男人
接近十倍普通枕头的溢价。库克表示需要虚心学习
没害死更多人啊，无非救了更多妇女儿童罢了，你要说害死了不少男性差不多
我必须马上开饭！
天呐两儿子
当年航海届默认救生艇不能坐满，否则容易翻
诺兰的片不能黑 一黑就是你不懂
ANZAC是出了名的勇猛
《核善
西式风帆操控麻烦，大风天很容易把水手拍海里去，中式软帆一个人就能操控。
弥漫崭新会当灵角顶一然中香小会当灵觉顶一览众山小
我了个4.6万人在观看啊
友情提醒:15分57秒
土木专业:你听说过我的故事？
《外观》专利
不不不他是最幸运的
我叫磁力棒
绝望夜莺散布病毒
4 l.l/lp;lp;lp;l;ploplpo/'/'‘。。。。。。；’
致敬
大义觉迷录
迷信是有道理的
世界线开始收束
诺兰没Q，是你Q的
算什么功臣？因为误传命令他杀的人远比救的人多的多
杀死大海！杀死大海！
忠诚！
氨  醛
微臣救驾来迟，还请可汗恕罪
科学里面有涉及运气的学科，迷信科学说明你们根本信的不是科学
哇，粤语译名，开心
新闻学魅力时刻
利润率得500%了
一颗巨石
我哭了啊啊啊啊啊
偷袭式更新，陛下勤政
606
@约翰马斯顿
死那么多人其实是因为救生艇不够，所以泰坦尼克了之后有了SOLAS公约…
其实就是管理疏漏，不只是这一个点
你确实是顶级的水手 不然这么多次也活不下来啊
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
经历了这么多他才25？
晚安，船长
动量守恒
他是个英雄
精彩的人生
这么难杀，他确实是顶级水手了
哦！！！发财啦！！
还是个战斗英雄！！
握草
这flag都没地方插了
忠诚
[OHHHHH]
油改气说是
安然无恙！
rf k zdidx
真男人还得手动挡
hbs saiyf
laxsszhundun yh
ao。。
bjlu
the 4.0
jhuasilonekuogq
奔头
布莱恩特
地铁yiza xt
真•刚刚早一百年一个世纪
致敬
致敬
可汗拌饭
我正在赶往食堂
时雨雪风野分
拥抱过去，创造未来
-*//*568-92+3+
为何没及时地出现在1874～
晚安，世界最顶级的水手
拉姆：果然善有善报啊…
致敬
忘记看黄历了
白星航运自己就足够倒霉的了
船长八字硬啊
他与命运争斗许久，他要扼住命运咽喉
水手：很容易，瞧，这是我的新钱包
耐撞王！
老子与海
申鹤的命格
港口灯塔船
完辣
究极运气王
还真是传奇水手
布尔人海滩都站不下 站海浪上了
《霉开二度》
哈哈哈哈哈
习惯了，寻常的海难而已
2
确实是怕了
生于洋雾，卒于陆雾
永不沉没
拉姆看了笑咧了嘴
相比之下，切柳斯金号不具备破冰能力还一路漂了过去
忠诚
传奇的老船长啊
虚空索敌，发动！
致敬
?
带嘤雪风号
我去，可汗真人出镜
卧槽才25岁
啊？
干一行爱一行
海洋之灾
可汗是真的喜欢基督山伯爵，各种版本都用上了
约翰那厮饱了
我嘞个雪风大人啊（）
真是个干大事的小伙子
《海上钢琴师》
雪风（）
你倒是多配一把钥匙啊
[OHH]
丸辣
和维什戴尔为伴（bushi）
攒了个大的
人力胜天
来个大的
航行了5个月
晚安船长
救生艇伏笔了
这个道森具有雪风体质
经历那么多才25岁
这经历你说他50我都信
忠！诚！
航 海 王
打窝
硬核狠人的行动力都极高
忠诚
忠诚
晚安，船长
25岁的经历真多
老船长就是老船长，看人真准
狠人
逃过一劫
丸辣！！！！！！
仙之人兮列如麻
伟大，无需多言
100年前
然后加速撞过去
乔杉：我年少无知，这老头太厉害了
bool战争
斯内普？
不愧是序列7的航海家
事与愿违，哭笑不得
在这里碰到一只无敌老鸭子史高治麦克达克
完啦！
他已经掌舵了自己的命运
恶魔之子
我听到了招灾的回响
马 安然无恙
顺发奶
这船长真厉害吧
丸辣！
雪风号的祝福
海逝
你先等会，什么？
传奇耐淹王
泪目
把船翻！！
致敬
耐沉王
2.7万人10分
马上要海逝了
我在网易云等你很久了
船舱：。丸辣！
程昱：我有一计！
手表可以停
安然无恙！
忠! 诚!
默多克是一副 不是大副
杀死大海！！！
飞机睡眠法立刻见效
晚安，船长
起码还给人家扔救生艇
《老子的海》
二项分布
晚安船长
要相信科学！
耐沉王
可汗勤政！！！
论背调的重要性
哥们家里这么有钱，就非得当船员？
一代传奇啊
蓄力了一辈子的运气，在这一刻释放了
captain！my captain！
哈哈哈哈哈哈哈
一般
泰坦尼克号
《高阳》
我看完了，下次看看。
.
海难：我在蓄四个豆棍式呢，你在等啥
勇气才是我的指南针
…
梦   幻
印度船长：说谎是会遭报应的
时间差不多咯
致敬
水手、乘客、货物：谢谢兄弟放过
《极力》
不是，这都不改行？
基头四
不列颠西门大官人
能踢后腰吗
这就离谱
海上传奇
忠诚
存活原因：海难经验丰富
*-/+
哇，一集讲不完这么多人吧
《必难航线》
头是真铁
快慢刀是吧
帅
帅
老人与海
挂！
泪目
直面恐惧，斩断循环！
拥抱过去，创造未来！
哈迪斯是吧
】
上一个这么说的已经被安排了
nb
长子不是挂了吗
海难经验丰富
圣诞节前……
此时才25吗
太专业了
差生文具多
1
忠诚！
卧槽，原来是你
马也算载具是吧
航海经历（五次不到）
Another
.
鲁滨逊漂流记
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈我笑死了
哈哈哈哈哈哈哈
长 痛
这老爷子全家也是忠烈，他自己参加过一战啊
勇敢者
这能活啊
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
自己淋过雨他也想给别人撑伞
啊？
铁达尼号撞冰山，撞了冰山全玩完
正吃饭呢，一口汤就喷出来了
buff显灵
晚安
晚安，船长
63   63   63
砸开不行吗
我超，冰！
泪目
如果他踏上了雪风舰，会发生什么不敢想。
才25？
不愧是印度船长
晚安，船长
经典圣诞节
干巴老大爷这几天刚刚去世了……
来了来了！
哈哈哈哈哈哈哈
只有一个
安然无恙！
布莱尔：感谢不杀之恩
安然无恙！
没受伤吧!
传奇耐水王
哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈
雪風様なのだ！
忠诚！
致敬
这种情况很难不相信真的有什么上层叙事一类的东西存在
666
海风（即答）
果然是老艺术家
哭了
谢尔顿
怎么不是主角了？如果主角不在船上，没有这些事儿，主角如果不是二副的话，这事都不会有，毕竟二附已经有你选了
没有什么必然人的因素，只能说，这些因素是因为主角
老白
甘文崔山
摸爬滚打
亲人：谢谢你
死没死船长
..
刚军训回来就看到这个，太开心了
专业
谁知道两年后这个公司还在不在
在海上疯狂打窝
人形雪风号
啊꒪꒫꒪)
伟大的
淹死的都是会水的
其他水手：你的快乐就是建立在别人的不幸上？
忠诚！忠诚！
《陌生的天花板》
丸辣！
一个幽灵，一个拉姆的幽灵
哈哈哈哈哈哈哈哈哈
最后死在雾霾手里了
horn!
偏向虎山行
家里人不错啊，关系应该起了大作用
王多鱼：你有这本事为啥不写简历里面
才25？
我回来咯船长
忠诚
他不如买意外险，能赚麻
以钳是以钳，现在是现在
菜就多练
这么高的距离摔海里是会摔晕的  水手八成是昏迷了才会被淹死的
斯德哥尔摩
完啦
我家有猫，可以直接睡在猫肚子上
是不是应为船长要跟船一起沉下去所以当不了船长
真的是……
晚安船长
所以说flag不能乱立
哈哈哈哈哈哈哈
万里长征
不想啊
船上坐不下这么多人（doge）
直面恐惧，斩断循环；拥抱过去，创造未来。（
忠 ! 诚 !
致敬
八字硬
嗯？
老头，真汉子，大西洋第一巴图鲁
这掌舵的水手闭眼睛呢
他甚至可以召唤潜艇
洒洒水啦
它的发挥是稳定的
66岁完成梦想
啊？
一山不容二虎fu
忠诚！
世界是个巨大的草台班子
@一口井，  哈哈哈
@一口井，  哈哈哈
哦吼
聚气----
新闻学的魅力
、
泰坦尼克：你不要过来啊！
可持续性的竭泽而妨
如驴得水
丸辣
击沉所有船只！
牛：丸辣
交通工具诅咒者
思路清晰 赚想赚钱的人的钱
共襄盛举
我曾经迷信过科学
开辟赛道
啥啥啥？
丸辣
吉祥物
迷信科学
正在加载……
救命啊
wws大佬
《亿些变化》
G
致敬
里昂！
第一次乘坐泰坦尼克，并没有什么特别的感觉，因为属于我的沉船，我早已遇见
真的吗（）
船长也是命硬
真泪目了
上帝：版本尚未更新，请稍等
晚安！日落者号的船长
是灾星上船了（）
我的天
原来是你小子
丸辣！
扫把星啊？
？？还是
如此少数英雄竟能解救芸芸众生
大义觉迷录
又是船员，又是矿工，又是牛仔，他不会是史高治的原型吧
晚安，船长
伟大的船长
：：：：
哈哈哈哈哈哈哈哈哈哈
确实顶级
10分
oh，caption ！my caption！
人形雪风是吧
其实对的。船长的暗示它领悟了
G
击杀
感动
虚空
力量解放
承包空屏
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈
哈哈哈哈哈哈哈
是不是第一不清楚，但我觉得应该算是顶级这一范围了。毕竟从那么多危险里活下来
不必管他
忠！诚！
铁骨头，硬汉子
这下子是给印度三哥开开眼了。
吸气晕了
丸辣！
丸辣！
触发被动
哈哈哈哈哈哈哈哈哈哈
一辈子的坏运气 在今天却再也没出现
大保底
我即风暴！
满门忠烈
多姿多彩的一生
这2万多人不到一年枕头就坏了？
丸辣
你听过我的故事
爷们，这样活下来我服
你不要过来呀
真给我笑死了这期
你是要考研呀
很快就要打脸了
致敬
我又要哭了
一硫二硝三木炭
嘴开过光呀
卧槽
泪目
晚安，水手
既不全新，也不豪华，更不完全是蒸汽
17岁都能当二副？？
原来是你小子
哪有小孩天天哭，哪有赌徒天天输！
bangga
bv
为什么要把所有望远镜都放一个柜子里
真实波澜壮阔的一生啊
因果律武器
f
拜登？？
bachelor knight?
天晴了雨停了你觉得你又行了？
长子不是死了吗
ha
三人虎，虎，虎
需要十分钟？那叫失眠，我沾枕头就着
他当船长有指挥是不是就不会出事了
致敬最伟大的顶级水手
少个人分钱了耶比
丸辣！
顺
原来你就是那个拿枪维持秩序的
布莱恩铜须
感觉八竿子打不着的单词怎么听错的
这又不是互文，学学语文吧
驱逐舰撞不过渔船？
能抗住纯靠血厚是吧
泰坦尼克号:未必
真男人
0.
布尔人这么狠？
格局大了
约翰内斯饱
buff又要发作了
这些是一面之词么
良心发现
船没事，他有事了
满门忠烈
战机：你这样我很尴尬
所以别开帆船
晚安，伟大的船长
都知道他天煞孤星了
他真的是最顶级的水手，而且是非常负责的水手
翻船航行
这个名字能不出意外吗？
《（难说》
荒野小表弟
最终他成了最棒的船长
还得是蒸汽平台啊
RIP干巴lunch
《海逝》
蒸汽平台没绷住
不合逝
你以为你能杀死我
致敬
这就是科学的力量
5
奖池还在累积！
传奇一生
倒不如说是那时候没有天气预报，现在的万吨大船，比以前抗造多了
可汗皇家枕头
泪目
不容易啊
我记得开头他老爸是去 澳大利亚吧
你猜为什么失去同伴
克罗斯，再来找本泽马！
克罗斯，再来找本泽马！
皇马球迷感谢卡里乌斯和库尔图瓦！
传奇
萨瑟兰：我？上早八？我上早八！
素材《伟大前程》
不是他和船长说的“妇女儿童优先”吗，什么他听错了。
樱草山丸
晚安，captain
给自己上难度
66666
人形雪风号
《应该》
有没有可能他就是天灾
大义觉迷录
《大义觉迷录》
类目
2.5万人10.0！
b（￣▽￣）d
嚯嚯嚯
泰坦尼克号沉没的原因找到了
丸辣
Buff等级不够高。
伟大
我在等cd，你在等什么（
时间差不多咯
辅助巡洋舰
怕不是触礁了
竟然不许
那个事汗嫂吗？
蒸汽船耐久度高
直接穿越麦哲伦海峡
泪目了
说澳大利亚有布尔人的，布尔人在南非
凡尔纳也想去
阿尔杰·威尔逊
新支线
good night，captain
we shall never surrender！
2.5万人10分
给他憋了波大的
辛酸
巴西关闭了码头（
忠诚
这都没死
我还以为直接抢淘金者呢
泪目，人类用赞歌是勇气的赞歌
他就是真正的传奇
澳大利亚：你不要过来啊！
幸运e
哈哈哈哈哈哈
杀死大海!
见麻了
大伯：这小子怎么还没死
这是实话，回来时候要不是他发现的不算晚，你们刚才就寄了
不长记性呢
碰碰车
这个到底咋样？
船长使用了嫁祸卡
从这里开始。开始科幻片。
科学的力量
才25哈哈哈哈哈哈
800m开外手枪爆头秒杀警告
byd这还睡得着？
破案了，原来那是你呀！
从没遇到？诶，今天你就遇到啦！
2.5w人10.0！
冲激！冲激！
还在立还在立
泪目了
石偷
致敬
命犯天煞孤星的英英雄
这次经验还能上涨
夺笋啊。
迷信科学
+.
才50多？
救了很多人
哈哈，正合我意！
难绷五子不行
天煞孤星
海 逝
开饭咯
洗煤厂友情赞助
卧槽，冰
守旧派
fbfq
有船籍号的，不能换船。
露面就没有敦刻尔克了
耗子家族
ꉂꉂ(ᵔᗜᵔ*)命运真正的馈赠
这不是你的错
它的阴影是战争
千把刀，专用名词。跳进盐制冰中
不知道为什么这句话出来我想哭
它是对的，超载的救生艇害死整整一艇人
也没有问题吧……妇女儿童在救生筏上能生存几率增加
唯一一处一定会断裂爆开的撞击角度
百分之一万的军事行为
上 条 当 麻
亏的底朝天
蒸汽风帆船没有办法远洋。只有稀土板块以后级别的不锈钢下保护的工业化巨轮能够远洋
死刑
旱地行舟（逼真）
YMCA~
哈哈哈哈
死道友不死贫道
毒物外接爆炸物
木头带燃煤……帆船啊…？
香甜的空气
人情世故
泪目了
牛
曹操:这心态，针不戳
通辽狠人
小场面
告诉我儿子，我不是孬种！
白星汽修！
新能源混动船！
我是猎户出身
这是等着憋个大的。。。
大伯:还没死啊，让他继续跑船!
啊，本人还没事。。。
牛
不能当二副和水手以及上帆船。。。确实离谱
这下听懂了
buff叠满
蕾姆
终于说到敦刻尔克
《战绩可查》
网友莱顺勒
船：补药啊
泰坦尼克号哭了
完啦 有帆！！！！
小偷：这里赚钱真容易啊
迷信科学呢？
走出半生，归来才25？？
学士骑士号
可汗勤政
他之前坐的都是帆船，帆船破冰感放到泰坦尼克号这个体位，那可就不是破冰了
削藩
那是因为敦刻尔克本来就不是战争，是丢下盟友逃亡
怒海争锋，写错了
嘿，三藩在这方面是有传承的
就喜欢小约翰可汗，话说是不是感冒了，鼻音有点重
有中餐吃？那不错啊（
那对面也认不出咱
谁反悔谁是侄子
逗
唐纳德，路儿，辉儿，杜儿
克朗代克之王！
才25.。。
哈哈哈。荒野大镖客
就是他自己浪！！！
能不要运危险物品吗。。。
不要害人啊。还是你一个人开反穿吧
背景硬！！！起码是王室关系
这都没被扔海里，船上的人都挺不错的
忠诚
泰坦尼克号：你不要过来啊！
忠诚
史高治
一般快充不都是22.5W么
敦刻尔克都七年前了？
啊？
泪目
帆改汽闹麻了
忠诚@！
？
比我妈大99岁
胜率已经75%了
潟湖（xie  hu ）
知道自己倒霉还去航海 把别人的命不当命 令人唾弃
有的版本把主要人物的结局都介绍了，但没想到这位是通辽宇宙重要人物
萧条宫的那期
泪目了
丸辣！
致敬
进度条才过半啊
你别过来啊！
Good night captain
致敬纯粹的人，伟大的人
船长：我突然释怀的笑
我正在旧金山湾区中餐馆看本视频
是，跟100%比确实不高
\][PUTRWQ   ‘’jgfdaDTG+；
大招cd中
蒸汽船：你不要过来啊
兰开夏的棉纺织业 谁做过这道高考历史题
致敬
阿根廷还没去呢直接下一站了
海：时间差不多了哟
会（即答）
18米 上百名？？
确实顶级
也许他这一生丰富的海难经验就是为了在泰坦尼克号中救下这30人
蒸汽船：你不要过来啊！
死道友不死贫道
丞相何故发笑
如果大伯阻止他再次远洋，就没这些事了
尻boy
原来就是你啊！
忠诚！
good night， captain
这个“布莱尔”的读音明显剪辑过了，估计一开始读错了哈哈哈
14岁就出海了，已经10年了
瘟冥死害
此时15岁
此时14岁
四帝共治
冰川:无知者无畏
传奇人物啊
向伟大的莱特勒船长致敬！
一生的憋屈，今日爆发
内心很强大
嘿嘿嘿猎驼鹿狐狸喽～
没有事故（指船员被拍进水里淹死）
太厚道了
不欠任何人了。
真是克所有人，包括家人，耐克公司开晚了。
睡了就不一定醒的过来了
要憋个大的
搁这叠buff呢
等等，他才25岁？
晚安船长！
居然还真的管用
笑死了
逃过一劫
新能源改混动。
这才27岁，比我几辈子的经历都精彩。
老魔法棒号，也是非常经典的浮动旅馆概念船了
不要说荷语
攒波大的
反过来说也是他倒霉
拉姆：啊对对对！！！！！！
拉姆：啊对对对！！！！！！
这企业的营收怎么确认？？
快把它扔下去，不然来不及
hi chief
公司要把新造的游轮给沉了
晚安，船长
他一出来就显灵
有牛啊！
善良的倒霉孩子
这句话我真的绷不住了
晚安，船长
稳啦
峥嵘岁月
?
首战即决战，一战定乾坤
永不沉没
海难啊！我以为标题是海滩吸铁石，还迷惘了一会儿！！！！
这是憋了个大的
hhhhhh
台风：我来啦
6，安全屋（doge）
雪风
5
5
致敬
致敬
还有高手？
猎狗巴克
准将和大校
诶，让我试试
才25？？
哈哈哈哈哈
阿尔瓦雷斯
晚安，船长
别激动，小场面
回头客是食人魔魔法师吗？
干吧老头走了呜呜呜
拉姆显灵
致敬
牛逼
我听到了招罪的回响
我听到了招罪的回响
我听到了招罪的回响
我听到了招罪的回响
我听到了招罪的回响
我听到了招罪的回响
我听到了招罪的回响
？
他说风雨中这点痛算什么
他妈说的是我吗？
干巴lunch
每日变声期
拉姆的含金量还在上升！！
泰坦尼克号:丸辣！
泪目
我听到了招罪的回响
泰坦尼克号:你不要过来啊！！！！！！
帆船特攻
每日通辽顺口溜
忠诚
大伯：一言为定，双喜临门！
为什么不是百亿补贴拼多多
忠诚
确实是最顶级的水手
敦刻尔克的故事啊
一切都是命运啊
小耗子终于更新了
《约翰内斯饱》
Buff开始一个一个的叠加了
xswl
对蒸汽船的首杀即巅峰
史高治麦克达克当时也在泰坦尼克号上，还遇见了在冰山上的老僵尸波比
笑多多
库隆号：老子强运，不妨事
丸辣
25?
卧槽才25岁？
已然成为传奇
史高志麦克达克都是靠在一艘蒸汽船上干活到的克朗代克
命运啊
新的公式生成了；莱特勒+帆船=海难
42分钟真快
麦克阿瑟：我将在圣诞节前带你们回家
那我就做预案
可汗勤政
忠诚！
一条没事的船，只是用来垫刀加暴击率的
致敬
0wtwt
图林 图伦拔
鲁滨逊：知己啊，兄弟
看来前两任船长的沉着冷静乐观对他影响也很大啊
啊？二十五岁经历这么丰富了
威尔逊家的人也是牛逼，第1任船长扛住buff，妻子一招解心魔
他是真爱航海啊，能坚持梦想到这程度也是厉害
他是真爱航海啊
听完前面的经历，泰坦尼克号对他来说真的只是小场面
