看好了！琵琶是这么用的！
如意金箍棒：三秒看清一个猴
金箍棒来了
李奶奶的晾衣杆终极无敌巨无霸超级版
小馋猫(确信)
《顶猪》
呆子别跑（字幕）
在水里画不出来安身法笑死我了
不是鲤鱼没穿大圣套装都能打过，我穿大圣套装打了好几天都没打过我，才是真正的马楼啊
大圣：现在我什么都不缺了
四阶在非战斗时用会触发八戒的语音彩蛋
猜猜谁的CD好了？
房子：坏了要似了
何方道友在此渡劫？（不是）
人我保住了  经我取到了  接下来咱们就该算算账了
这时候天命人叫八戒一声呆子会怎么样
《昴日星官》
唐三葬核爆五行山
大圣残躯：坏了！出门没看黄历忘带定风珠了！
无量蝠：我跟你们说哈，我当年可是打过了大圣
我甚至以为是鲤鱼叫的
我还是忘不掉那个鬼畜天线宝宝的粉色猛男伞
《可爱的小猪》
大圣:立个棍 还要蓄力?
棒
老奶奶的晾衣杆终极版
坠机了（doge）
八戒：6
想看法天象地的鱼
沙和尚：行李脏活什么的，不都是我一个人吗？
天命人：叔你看我跑得掉？
我就知道鲤鱼会说脐带缠脖
耳朵好可爱
看攻略了鲤鱼
上课不准喝饮料（
就是刚开局大圣穿的那套。
哪吒:谁偷了我的风火轮
不是怎么就只剩一个小时了，我靠，这么快别呀
土地庙:你猜我为什么在这
大圣残躯：哟，九九成，稀罕物
大圣:我......终于......拜托了......那道紧箍！呃呵呵呵.........
接下来请收看：四大天王组队打boss
如    意    金    箍    棒
《国际友好鲤鱼》
到时间了（指着钟表）
《塞尔达传说王国之泪》
抑郁头痛回家看鱼了
杨戬：不对啊，剧本上没这一下啊
《进击的天命人》
浪波波：铜头铁臂！
天命人正在拔大师之剑
解锁成就:鲤鱼的空瓶
我才发现他似乎有好多颗眼珠子
鱼：好看不能当饭吃
之前叫大圣去水帘洞找宝物的那只猴
《肉骨凡胎》
了
反方向的鱼
杨戬：布豪
四大人机
有点暧昧了，就因为这一句话搞出了很多二创
二郎神又把大圣打死了(bushi)
↑黄鹤一去不复返，白云千载空悠悠
注：这里二郎神用云把太阳遮住了。意思是不让天庭看到
大圣六根，最后一根：【意】
这句话说明了大圣还活着
当你生病时的现状be like：
纯天然无添加金箍棒
《贪鱼》
天命人：我打架的时候你去哪了？
《在八戒胃里吐毒》
《你也蹦个试试？》
别人都是大圣套加如意金箍棒打，鲤鱼是黄眉套加上二郎神的武器打，只能说太牛逼了
天命人：我有前世的记忆(doge)
青蛙队拿下两鱼头
大圣！！！
大圣:这好像不是我的传人，像是二郎神的传人
注意右下角的样子变了
如    意    金    箍    棒
猪八戒：你不是他，但是他没了，现在你最像他，不想失去你了
昔人已乘黄鹤去，此地空馀黄鹤楼
看到地上的水了吗，都是大圣放的！
《情头》(bushi)
注：影神图里王灵官告发八戒导致八戒被贬下天庭
从第一章一直活到最后
《米奇》
因为只有花果山是开放地图
拔下来了还在手里掂两下哈哈哈哈哈哈  天命人好可爱
天命人：小馋猫
老奶奶的晾衣杆终极版
八戒有坐骑了（doge）
欧拉！
变成红孩猴
从此四大天王变成了三大天王
看到那个座椅的时候，仿佛大圣还在，但是人已经走了
注意那个过来想挡一下的，没挡住后比出了国际友好手势
石先锋pro max
你有三分似它，我便失了神
《雪豹闭嘴》
真是浪波波（
好可爱的八戒
《大蚂蚱子》
又拱路去了（doge）
八戒：我不到啊
加密通话
《礼鱼》
《肉蛋葱鸡》
开始继承大圣的意志了
筋斗云:我来助你
八戒又去拱路了（doge）
坠机了（
劈瓜（指字幕）
《礼鱼》
简单点讲就是让你在高周目的情况下用的套装
《这次我是糟糕》(字幕)
《哎哎哎》
未竟，这里“竟”就是“终结”、“完成”的意思，“未竟”就是未完
八戒：兄弟你好香
猪八戒：我贤侄好像有点死了
灌江口小伙立正了
《呆毛》
原著中，孙悟空对八戒说的话
《不用法宝，照样干掉你》
如意金箍棒！
《黑神话:鲤鱼》
虎哥：孩子们，我回来了
大圣怎么会死呢，哈哈哈哈
大圣残躯：你很勇哦
超雄猴子
《不用法宝 照样被干掉》
完结撒花！
这螳螂还有二阶段
鲤鱼好像是第一个不用大圣套装，打大圣残区的，还打赢了
前面那条评论是什么意思啊？不管什么作品，穿模都是很正常的。
丸辣
丸辣，这个bgm好像不是给我放的
末影人:3A大作有我的影子，直了
不是鲤鱼没穿大圣套装都能打过，我穿大圣套装打了好几天都没打过我，才是真正的马楼啊
攻略鱼
《她》字幕
全是名场面!!!!!
《进入》
丸辣
血条见底就有金箍棒了
我怀疑大圣残躯就是上一个打赢大胜残躯的天命人
提示孙悟空当时说要拿二郎神的第三只眼睛尝尝鲜，意思是把第六根的意藏在二郎神的第三只眼中，天眼
那天，人们想起了被巨人支配的恐惧
市面上像大多这样的游戏(只狼，老头环)都会穿模，很正常
一眼查过攻略
鲤鱼哥推荐你去玩一款叫地狱把妹王的游戏！！！
空瓶
占领空瓶
北风狼王(乱入
混元一气上方太乙金仙，历代驰名第一妖，头戴凤翅紫金冠，身着锁子黄金甲，脚踏藕丝步云履，手持如意金箍棒，花果山美猴王齐天大圣孙悟空
动漫量
不可能有人找得到我，不然就变猫娘
《山崩屁裂》
兄弟们，说说话呀，这鲤鱼的视频感觉缺了点味道
鲤鱼查攻略会掉你一块肉吗？
占领空瓶
老猴子为什么要叫猪八戒叫八戒呀
空瓶
这时候已经是六根了，天命人就是第六根＂意＂
《冰封鹿》
龙的高玩（确信）
我了个斗
《物归原》
现在是天命人
火眼金睛开
深情告白（？
占领空瓶
刚才的天兵天将：6
塞尔达传说拔大师剑（确信）
《鸡缘以到》
起爆符
金箍棒马上就来啦！！！！！！！
天呐，不穿大圣套装三遍过
《叭叭叭》
晴川历历汉阳树，芳草萋萋鹦鹉洲。
石人救我 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
鲤鱼，你千万别立棍，你千万别立棍，他是大圣残骸，你太但很无敌
有一只进老猪八戒肚子里去里去了
不对，五阶段？
大圣：招笑牢弟
那不就如意金箍棒吗？别废话了。
定风球：孩子们，我回来了
木大木大木大木大木大木大木大
最长的一集
补药啊！呜呜呜！我还要继续看黑神话悟空！
不是三遍，最起码有个十遍左右，看着是三遍，其实是剪辑，要不然怎么可能这么熟练？
猜猜为什么有水 大圣放的
紫色你说的那个应该是电影的吧？
单机游戏还扯上电竞选手了，神化别人这么有趣吗？
要是穿上大圣套应该会很帅
八戒和老猴子其实都不知道最后一根在二郎神那边，意根所在除了已经死去的大圣，就只有二郎神了
夫妻对拜
空瓶
[ohh]
鲤鱼眼睛好像红了
所以说孙悟空大闹地府的时候加的那些寿命已经完了？(我认为在地府生死簿的寿命只有到了才会死，不会因为各种意外而死)
龙脊雪山
鲤鱼是不是没打百目真人
8000加人
说句不相关的，确实有剑圣一心那味儿了
[OHHHHHHH]
刚放学回家的8000人出来
人家就说了句查攻略了也没说什么其他的，你们急什么呢
能看见我的扣一
注意鲤鱼血量注意鲤鱼血量
《非常普通的鹿》
空瓶
oh组准备
[ohhh]
第二个大圣铠甲的地方
生日快乐呀！
钢铁大腚
生日快乐
我的终究要还给我，我倒希望五根给大圣可以让大圣复活
大圣：终于。。终于。。。这么久了终于有天命来了！
空瓶
4.45看完［飞吻］
wow wow 戴拿
[ohh]
看攻略了
二郎神不会是狮驼岭的那个狮子精吧
一遍过！
山：我宝贝宝贝宝贝宝贝
生日快乐！
注：这些不是真的四大天王
《她》字幕
v空瓶
最难的几个boss之一两遍过?
霸占空屏
这好想是白衣的废 案阶段
我也是诶
占空瓶
0HHHHH！！！！！！！
闪电侠呀，你是
我生病了，待在家
礼鱼
[ohh]
完结花洒完结，花洒完结，花洒完结，花洒完结，花洒完结，花洒
可惜你没有拿到大圣的铠甲他没有大圣图案
大家都注意右下角的大圣图案变成小猴子
[ohh]
这山是如来修炼的大雪山吧。
[前方高能]
这回血太离谱了
鱼是不是忘了花果山有大圣模式了，怎么不用大圣套
完结撒花
鱼是我见过第一个不穿大圣套打过的
可惜了这里不是大圣的衣服
完结了
完结撒花
完结撒花！
能别云不，还孙悟空她看着，，，，，石猴
[ohh]
金箍棒？
完结撒花
喝酒被boss读指令砍一刀就没
完结撒花
不是哥们  你单手拔呀   大圣当初都是用的两只手
[ohh]
第六回《未竟》
三只眼当然更清楚
玉帝老儿，拿命来
完结撒花，感谢陪伴
《四大人机挑战boss天命人》
完结撒花！！！！！
[ohh]
[ohh]
《天命人劈山救大圣》
完结撒花
完结撒花
[ohh]
哈哈哈
前面是不是就是名场面了？
[ohh]
我
完结散花
声控猴
八戒身上好像除了一个九齿钉耙，其他都是破烂玩意
细节八戒刚刚擦眼泪了
还真少了两口的量
完结撒花
比尽，他和大圣55开
是挂
《火拳艾斯》
《情头》
寅虎：孩子们，我打赢复活赛回来了
完结撒花
《四大沙包》
完结撒花！
补药啊！
完结撒花
从第一期追到最后一期，没有一期落下！！！
完结撒花
帅！
[ohh]
每个人都想当鬼~
完结撒花
大圣可爱！
[ohh]
完结撒花
这是你的第一个恩人
脚？
七绝山巨蟒
完结撒花
好家伙，四大天王共用一个血条
金箍棒 ：爱要不要
[ohh]
记不记得鲤鱼说过自己很菜
记不记得鲤鱼说过自己很菜
二郎神打孙悟空
喝血啊！！
前面的，大圣死的意图就是想摆脱箍咒
梦回虎先锋
[ohh]
记住驴现在嚣张的样子
666
完结撒花
完结撒花
被云中君单杀了
绝地反击1%
完结撒花
666
完结撒花
反骨共屏（bushi）
鸡皮疙瘩起来了！
完结撒花
666
[OHHHH]
只有八戎为天命人着想，泪目
又是我，我又来了，因为刚才我没有补充安全，我就是刚才说那个一整套大圣套装是孙悟空自称齐天大圣时的那个，你知道为什么他又说好好好这几个字吗？是因为当时天庭给他的装备，他不喜欢他才如此敷衍的说几句。
666
鱼还母鸡（不知）有四个阶段
广智也会识破，前面的是云吗啥掉
讲个鬼故事，看进度条
完结 撒花
999
666
666
[ohhhh]
后面的白色雕像:D
666
[OHHHH]
二郎神把意给天命人了大圣应该不知道，或者没取走，真要给他取走大圣就复活了
我怎么听到鸽鸽的声音？
[OHHHH]
嘟嘟哒嘟嘟哒
没用没用，欧拉欧拉
变巨人了（doge）
完结撒花
完结撒花！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
[ohh]
血条消失术
[OHHHH]
完结撒花
完结撒花
[ohh]
啊啊啊太可惜了
完结撒花
[ohh]
完结撒花
四大人机
酒的量还真少了点
金箍棒呢
[ohhh]
完结撒花
[OHHHH]
战斗，爽！
不是，这不用戳棍?
[ohhhhhhhhhhhhhhhhhh]
[ohhhhhhhhhhhhhhhhhh]
[ohhhhhhhhhhhhhhhhhh]
直接踢飞没绷住
[ohhhhhhhhhhhhhhhhhh]
这一路上要踩死多少小怪
[ohhhhhhhhhhhhhhhhhh]
打碎空瓶梦
[ohh]
天河定底神珍铁
[ohhhhhhhhhhhhhhhhhh]
《礼鱼》
完结撒花
你再青面獠牙，也不至于这么丑，而且你要真按原著来说，所有人用法相天地都是青面獠牙
如果意识也拿到了是不是这里大圣直接复活了
完结撒花
辛苦了，天命人
完结撒花
四大人机
666，这个入开桂
《逝界冥画》
大圣：我现在只缺水，前面放太多，现在该收回来一点儿了！
完结撒花
火焰刀威力
能不能不要在说什么放水不放水了，这只是个僵尸，又不是大圣
完结撒花
终于知道为什么八戒开法象天地的时候，他变得野猪少了一颗獠牙
《人》
完结撒花，之后再次陪伴
舒庆春vs老舍vs舍予
类似Flowery的新手教学
金箍棒(不如意)
现在就可以成为了
[ohh]
大圣残躯是我现在除了Sans以外唯一一个被打还高兴的Boss
老舍打舒庆春
[ohh]
完结撒花
《老朱》(字幕)
完结撒花
不是骂玩家，在八戒眼里孙悟空只有一个，就是大师兄
这里应该是天命
那些营销号就是乱说的，这又不是齐天大圣，只是大圣残缺，并且也没有真正意义上的意识，也不可能懂得放什么水之类的
我了个残血速通天命人
完结撒花
《四级大爆》(字幕)
完结撒花！
《蜥蜴人》
是冰
完结撒花
大圣残躯加石猿六个阶段
《但我很菜》
打四大天王纯乐呵
来自鲤鱼霸气的“你完了”
[ohhh]
[ohh]
说一下吧，疯虎跟二郎没关系，只要把跟二郎有关的打了就能打二郎，然后再打大圣就是好结局
《牢鱼》
场地正确，Boss战开启
战争雷霆(
[ohh]
《四大沙包》
鲤鱼大电影
（猫）
boos已经入第三阶段（指鲤鱼）
看给八戒开心的
。
[ohh]
完结撒花
无量蝠：“这我能吹一辈子”
其实大圣残躯没有下死手 有一种老师教学生的感觉
[ohh]
最强的不应该是那个毒青蛙吗？（
[ohh]
何止是二阶段，共有四个阶段
1161
正宗东北话
感蟹鲤鱼！！
[ohh]
这个打的好爽
完结撒花！
天命人自己会发光啊
不是，血量这么厚吗？
完结撒花
完结撒花
好结局!!!!!!!!!!!!!!!!!!!!!!!
不要带上啊!
[ohh]
《认主了》
完结撒花！
[oHH]
可惜猴子猴孙都亖了
这铁球是不是能赶路
泪目
因为鲤鱼前面打杨戬打赢了所以说六根集齐了天命人不用再带紧箍咒了大圣真正的摆脱了！！！
换虎哥了
666这个入是卖桂的
完结撒花，感谢陪伴
鲤鱼
这能一遍过我吃两斤
丸辣
天命人终于叫了一声
牛逼鲤鱼没用大圣套就赢了而且是两遍过四阶段大圣残躯！！！！
我勒个云中君
要拿GG棒
[Ohh]
逐渐变成红烧鱼
啊？？？这么快就一半血没了
鱼打了很久吧
大圣的定身法是永久的，除非大圣自己解开
[ohh]
记住鲤鱼说过的 我很菜
你要是用如意金箍棒，你也可以打这么长
寅虎的力量
[ohh]
我没看够
四棍好了。
[ohh]
像个鬼
[ohh]
长按屏幕听正版歌曲
上船起航！
[ohh]
[ohh]
石先锋：有人模仿我的脸，有人模仿我的面(doge)
[ohh]
[ohh]
唉 其实我根本没被定住(大圣音)
过家家游戏到此为止了
完结撒花
最早来
[ohh]
[ooh]
这便是天命人的最后一个故事
呂
[hoo]
完结撒花
[ohh]
抢先版就没有人来想我吗？
[ohh]
[前方高能]
别看要没了 其实只不过是鲤鱼的想象罢了
所有主播都看了一遍，鲤鱼是唯一一个不用避火罩，直接把蟋蟀触角拔下来的！
发生什么了？
如意金箍棒
[ohh]
新手教程结束
吃吾一刃！
[ohh]
[ohh]
完结撒花
那3000个人出来吧
Q！
小蝙蝠拿下一杀！
靖妖傩舞
pro max版
等等这个时间20多分钟打大圣残躯
这里有一段逆天的话鲤鱼剪掉了，应该是为了不引起争吵
不能吧？当时阎王爷都把大圣的生死簿划掉了，应该不会死啊
初见端倪(指鲤鱼)
2b
单手，大剑，是迪卢克
单手，大剑，是迪卢克
[ohh]
不穿大圣套装又不是打不过
[ohh]
[Ohh]
为什么没有远程武器啊
大圣但凡用一个法力，天命人都死了
孩子，们你回来了
黑神话：悟空  完
最新诞生的王，献上礼炮
此时鲤鱼还没意识他到打大圣要用到至少15分钟
帅帅帅
黄金幻影旋转
吴大师
大闹天宫
金色忍者
怎么浮空了？
没人吗？
齐天大圣
《论原始鲁迅和聪明周树人的区别有多大？》
雷姆！！！
最终战
猴王保唐僧
哇！
.
《礼鱼》
这一路太不容易了，泪目
无量蝠这我能吹一辈子
斗法降三怪
箍
太棒了！
城里的奶奶
箍
太棒了！
[ohh]
上面的，两条
完结撒花！
[ohh]
[ohh]
完结撒花！
[ohhhhhhhhhhhhhhhhhh]
这把召唤出来的刀是附魔天命人的
[ohhhhhhhhhhhhhhhhhh]
地：我免费了
[OHH]
都昨天的视频了，3000人看
什么鲤鱼不用戳棍？这样子三尖两刃刀伤害才高呀
开局壁纸时间
山：……
[ohh]
棍子玩多了，玩三尖两刃枪还不习惯
《四大妖姬》
《先让他们让你找找手感》
空
《手鸡》
外面的小和尚：里面打得怎么样了，怎么感觉跟地震了一样？
空(宁
完结撒花
现在这个可能是天命人
《进去了》
被撒x3
感觉要没
一集看到12集，哈哈
[ohh]
齐天大圣打美猴王
一股强劲的bug响起 以为是给天命人的实则是给对面的
鲤鱼3阶段了
完结散花！！！！！
黑神话：拜年
[ohh]
喝酒就过了
这一顿用大圣套装的话氛围感强一点
你确定八戒是这个样儿？
石哥救我！
鲤鱼:你们已经彻底激怒我了你们废了
oh组准备！
恭迎大圣
空
棒
四逼都亡(悲)
被撒x2
箍
飞天螳螂进化了！！！铁甲螳螂！
机械哥斯拉
4大老师对战学生
应该用静字法，一直劈棍，一直蓄力劈棍，现在这种伤害到4段就是刮痧
不是绿字哥们儿你怎么还能卡点的？↑
应该用静字法，一直劈棍，一直蓄力劈棍，现在这种伤害到4段就是刮痧
[ohh]
[ohh] [ohh]
天命人：让你弹！让你弹啊？这么喜欢弹啊？！
[ohh]
我那个一阶段打三阶段
《10元》
这是不三连小伙伴的皮肤
文太
完结撒花
国际友好礼鱼
李奶奶的晾衣杆Pro max版（确信）
随风而去吧！
二郎神：不急不急这猴估计还要再打一会
OH组准备
斩味不够，弹刀
[ohh]
完结撒花
有呆毛了
《蜜蜂老虎狗兔》
[ohh]
被撒x1
为啥不用金箍棒
完结撒花
大师之棍
OH组准备
完结撒花
完结撒花
[OHHHH组准备]
[ohh]
[ohh]
6
鲤鱼打黑神话，悟空杀死鲤鱼次数MVP大圣！！！
↓铜头铁臂打完虎先锋就有了，买个游戏吧
空屏
点击任意处开始游戏
完结撒花
这已经疼死了╯▂╰
青涩恋爱脑来晚了
？我滴妈
石头出什么血
丸辣
你们发没发现二郎神的那把武器在天命人手上形状变了，在二郎神手上是莲花状，在天命人手上，变成了孤云状
看都没，地上的水是无脑跟风的人脑袋里的
前面的别说杨戬是挂了，杨戬也是能和孙悟空打的五五开的人，实力能弱
大圣顶号了
完结撒花
关公门前耍大刀
[ohhhhhhhhhhhhhhhhhh]
血条少，血挺厚
攻略要是不让人查的话，那他叫攻略干什么？
阿方打米科
哥哥们，饮了这杯，我们一起打上凌霄宝殿
为啥非要穿大圣套，强迫症吗
现在的这个猴子是天命人吗
大圣曾说过把二郎神的第三只眼摘下来尝尝，这就说明第六根意就在二郎神的天眼里
一段动画石猴一点血都没掉
[ohhhh]
完结撒花
大圣，回来了！
完结撒花
完结撒花
我觉得应该是这样的，天命人集齐大圣的6个英雄碎片，才可以复活大圣
空瓶！！
不
大圣都被打“死过”一遍了，，天命人打到这里他没实力吗？还说放海
为什么不用隐藏的？
那个成佛的根本不是他应该说的六耳猕猴。因为有很多人说六耳猕猴代替了孙悟空。游客真细呀！
按进度条来说，鲤鱼应该是把两个结局都集齐了
[ohh]
两小时
按鲤鱼这个性子应该会把两个结局都解锁一遍
石头免疫四灾
4000人
完结撒花
完结撒花
[ohh]
[OHHHHH]
看鲤鱼的视频就跟看攻略一样
两个哑巴打架
完结撒花
为什么不用？老早就解释过了
《如果我是DJ，你会爱我吗？》
这不会是孙悟空的法天象地吧？
那不是眼见喜吗？神tm喜见眼（doge）
大石不敢当
所以说最后如意金箍棒那一下是不是多余了？
为什么不减气力条了？
开天眼了
不知道大家有没有注意到，就是四级棍是攒的时间更快了
啊？好结局？！
完结撒花
红孩蛙
每个人都想当鬼~
反方向的冲
[ohh]
看起来挺好看(๑•.•๑)
地狱火
[OHHHHHHH]
完结撒花
完结撒花
问:天命人耳朵里到底藏着多少件物品
八戒变声了
《鲤鱼回归18年》
[OHH]
oh
完结撒花
[ohh]
完结撒花
[ohh]
[ohhh]
没啥强不强的都有自己好处，就看哪套顺手
[ohh]
完结撒花
完结撒花
[OHH]
[ohh]
《白内障看不清，鲤鱼棍棒滴眼睛》
大圣在传，他也是大圣，而天命人再强，也只是天命人
回收开头
完结撒花
获得成就：《见证历史，口吐芬芳的驴》
好脆呀
在西游记原著里，猪八戒其实很高
《金刚不会之身》(字幕)
说实话，二郎神比残躯要难打一些。
[ohh]
这让我想到了钟离
天命既定！（莫娜音）
前面的这里要是不剪辑能达到这个视频的长度
好结局
[OHH]
[ohh]
二郎神法天象地好魔性啊
完结撒花
天兵：不是你大圣打我们小兵干嘛、
前方礼鱼国际友好
[ohh]
不是金箍棒我好难受
[ohh]
这时候八戒就是这个体型？不是被黄眉老怪降了法力才变的吗
《巨石强森》
[ohh]
[OHH]
完结撒花
疯虎：轻舟已过万重山
大圣!!!!!!!
弹球
硬（激动）
空瓶
看攻略了
完结撒花
《礼鱼》
[ohh]
[ohh]
完结撒花
完结散花
《黑科技：悟空》
好好好，卖挂，是吧？
？
[OHH]
这只是前期的大圣套
§e
完结撒花
这个是大圣以前用的，黄金锁子甲是天庭的上班服
时间差不多咯
这套在一周目还是比较弱的
[OHHHH]
HOOOO
这个必须要避火罩
齐天大牛（确信）
HOOOO
有没有一种可能别人打的是二阶段，鲤鱼打的是一阶段？
这个视频怎么只有1.9万点赞？
地：我上早八
已经有可以在所有章节用筋斗云的模组了
四大天王：你才Boss
前面的，大圣套装是多周目的时候合适，拿大圣套装都是为了视觉效果
哇，真的，能把杨戬打残血的男人，除了孙悟空只有鲤鱼了
[ohh]
菩提不会，唐僧会
记录礼鱼第一次红温（doge
马上获得金箍棒
神鹰蝠
小鸡杀老鹰
而且右耳猕猴有6只。耳朵
[OHH]
六耳猕猴比孙悟空菜
↑大圣套又不是最强的，并且杨戬也不适合用大圣套来打，大神套只适合刷二周目
天命人：真好，还给我买皮肤
天命人应该是大圣的转世身，大圣想要摘掉金箍，满天神佛想要个听话的大圣，所以天命人一直是个哑巴，跟个僵尸似的
黑神话机关枪
[ohhh]
完结撒花！
直接去打大圣残躯会触发坏结局
《不用法宝照样干掉你》
泪目了
其实在第一集悟空就说了，猴子们都死了
我!
蛇刃《确信》
天命人准备打天庭了
[OHH]
虎哥：孩子们，我回来了
前锋高能。
看个动画，不亏，而且跟刮痧一样
猴哥帅呀
看完了(〜￣▽￣)〜
哦哦哦。
意 已经消散了，只有借助天命人的 意 才能复活
《早期人类刷狂火·维列珍贵影像》
“喝了这杯酒，我替你们打上凌霄宝殿！”
时间差不多咯
收服流沙僧
，
让你弹让你弹让你弹
等等，火焰刀
如果不给查攻略，那别人发攻略干什么？
给二龙生都打出血来了。
"这里是""劈棍“的大圣形态？"
大约两个小时啊
完结撒花
你们不讲武德。
这老猴是神仙
让你弹让你弹让你弹
《黑神话：礼鱼》
《胖猫》小伙立正了
广志呢？怎么没带？
怎么办呀？
如果不给查攻略，那别人发攻略干什么？
按进击的巨人来说，应该打脊椎
你干嘛？
这里大圣已经全胜时期了，只是差意识
小动画
哈哈哈哈哈哈。
完结撒花
终于回到花果山了，兄弟们，呃呃呃呃呃
隐藏结局。
[ohh]
不过如此嘛，记住这句话。
正片开始！！！！！
看着就解气
完结撒花，感谢陪伴！！！！！！！
感觉小黄龙会比这个石猴好
回收宣传片
黑神话·处决技
鲤鱼玩doors floor2!
猜猜谁快好了
完结撒花，感谢陪伴！！！！！
看黑神话悟空有联机模式，四大天王打鲤鱼
完结撒花。
愤怒的小手
[ohh]
更新太快了我都没看
完结撒花！
就猜血条掉这么快，肯定有二阶段
[ohh]
[ohh]
[ohh]
原速全部看完啦
完结撒花
马上要黑化的鱼
金箍棒不能变大，大圣放完了
大圣的记忆到手
完结撒花！
大圣：是的，我就是牛
秒人斧
以前的预告片里展示出大圣打天兵天将，那估计就是dlc，因为一开始没有打天兵天将
完结撒花
官方讽刺六耳成佛论
完结撒花
到底谁是Boss啊！
鲤鱼别放水了，干他
还没有红温的驴
《我很菜的》
完结撒花
完结撒花
鲤鱼是古希腊掌握闪避的神
完结撒花
大圣残躯：哟，九九成，稀罕物
《进击的驴》
x金箍棒换成杨戬的武器了
《艾伦》
别刀了↑
完结撒花！
鲤鱼
完结撒花
完结撒花
似曾相识的画面。
《二郎偷袭真君》
《定身术》
炎拳 马楼
原来是剧情。
↓找到了，快变！
[ohh]
[ohh]
看右下角
二郎神：丸辣
6:四大天王
Man！
最终阶段
全体起立！！！！！！！！！没有穿大圣套，两命过，全体起立！！！！！！！
如     意       金       箍       棒
刚才一瞬间二郎神的眼睛是红的。
石猿形态打出重击可以回血
看到地上的水了吗，都是大圣放的！′
完结撒花
蛇刃（确信）
霸占空瓶
[OHH]
我嘞个雷（看哪个条没了？）
火焰刀
看到后面的时长，我就知道boss肯定难打
[OHH]
Q！
天庭小伙立正了。
完结撒花
《你打不着爷爷》
这个是天命人喝的，所以大圣根本没喝
完结撒花
芭蕉扇：没有，不可能
完结撒花
杨戬还在蒸
丸辣
最终决战开始！！！
跟一心有得一比
《这次我是糟糕》(字幕)
鲤鱼小伙立正了。
[ohh]
要来了
Oh组准备
[ohhhhhhhhhhhhhhhhhh]
天命人：666这个注变脸不
完结撒花
完结撒花
天命人：你食不食油饼？
完结撒花
我的评价是，不如广智
是好结局还是坏结局？
上面的看好了，鲤鱼已经换成大圣套了
全军列阵!
感觉得出最强boss沉默加残血鱼
注意装备
完结撒花
再来亿遍
我的眼睛 ！！！
石巨人（确信）
不查打不过孩子你无敌了，那你全部boss都查攻略算了，还有什么意思
这不抱狮子王的那玩意吗？
这是鲤鱼第一次发电报
学会看攻略了，喝完酒还翻滚
哦哦哦哦哦哦哦!是谁住在深海里的大菠萝里
他红了
[OHH]
上面的真6这个画面的时间线是以前，这个是真大圣不是天命人
《一拳附体了》
完结撒花
哈哈哈
空气墙
