《血本乌龟》
好，接着连同剩下的这么多鱼4万5包回塘主
怎么能带华哥去？他是空军啊
以后不敢跟大表哥盘塘了
李赔光、空军华、拉稀轩三剑客
捞过的塘还卖这么贵
水深网浅
不是塘主问题才有鬼了，不知道买个声呐探测器？
他哭个毛表演的闷声发大财
不敢说要被打
捞完了都
省流:赔光了
哈哈哈
同龟鱼尽
草鱼钻洞？呵呵
空军佬，空军佬
铩羽而归
哈哈哈哈
他还谢谢咱呢
跟大表哥好好学学
给完再反点
润田！！
几万块1000条鱼，这一条鱼金子做的？
有条大头鱼睡着了
rnm退钱！对得起我们吗
底赔光
打龟
亲戚加个表  不如破棉袄
哈哈哈哈哈哈
鲜明对比
直接电
12条不一样是吧，能别整剧本了吗我说
敢不敢把水抽干了
刚子你把握不住
刚刚市场回来的
来拿鱼了。免费宣传。
乡亲们都来看你笑话的
我怀疑之前抬网那400斤是人放的，哈哈哈哈哈哈
零元购来了
塘主肉眼可见的慌了
有鱼捉不到不是也要退钱
没鱼，退钱
大石头里藏几千斤鱼
鱼都在塘主和大表哥旁边站着呢
拿手杆去钓
不要笑，他也只是想为乡村振兴贡献一份力量而已，凭他的能力压根不用来吃这份苦的。
塘主肯定骗人了啊，上千条草鱼，一条没
大表哥出钱合理
打龟哈哈哈
高情商：景色好一点  低情商：中看不中用
铩羽龟来
大cs吧
看大表哥的视频这种大塘他一般都不包
还没我重
连夜放的
强大几千条鱼能躲到洞里面，外面的就几条
几千条鱼塞洞里?
真就一条草鱼没有啊
大表哥职业演技
@抢鱼村
80年老师傅已经在热身了
面露难色
一条草鱼都没有
白鲢不值钱 那条桂鱼贵
虾扯蛋
巨坑
越看着老实的人，心眼越多最坏
先打鬼
空军龟来了
都这么大的鱼，里面不至于没鱼啊
连夜放鱼
听说要包塘早就连夜把鱼捞完了
雷公助我
李培光
还是催眠自己了
一千多条朵了999条是吧
没有鱼
大表哥的钱原路返回，李维刚和华哥的钱三七分成
找潜水员啊
晚上捞走了
那是谁的问题呢？
刚哥都怂了，不会又抢鱼吧
无归
鱼这么瘦，能有鱼？
坑
哈哈哈
《买鱼》
润田？
明显说谎啊，演的！
被野生钓鱼佬钓完了
直接上声呐探鱼器
抽，这不抽水？亏了六七万了吧
一脉相承
投币回血
打龟
哪有草鱼呀
干净是吧，昨天菜市场刚买的捏～
黄眉：金蝉子我已经准备好开赌了
学校什么时候转让？
上次能抓一千条，现在啥都抓不着了是
一起亏，一起亏，一起亏
别包了，亏得也太多了
为啥不用抬网多抬几轮
68000
提前捞过了
省流：大表坑
抽水！必须抽水！
我们相信是塘主为挽人设，连夜放的
这手臂搭在你肩膀上 你也别说不慌
大表哥就是个出生
白鲢不值钱
半路跑路吧，塘主
上探鱼器啊
鱼应该是有的，关键是水抽不干
不想看了
鱼肯定不止这么点，下面肯定还有
还有下次，哈哈哈哈哈
哈哈哈哈
啊对对对
啊对对对
啊对对对
鱼就是你呀
哈哈哈哈哈哈
买鱼指的是零元购(不是
省流：还要包塘
打龟
李赔光
大表哥：你信吗
水太深了，鱼都在下面
大家好我是李赔光。。。
有多少鱼唐主最清楚，全程看热闹
抽水。必须抽水
的确李赔光
自己还捞过，谈价钱的时候不说？
鱼早被他捞走了
国足失利发言人请刚哥去吧
已经给了什么意思
不贵
4万6，460斤，平均一百块钱一斤，不贵诶
还是干塘才有搞头
cs骗子
这种地形本来就很棒鱼的鱼受到惊吓全都躲边上的暗洞里了！
Cs一个跟那个大表哥都是两个cs
草鱼呢？
我笑了 这不是放进去的我跟他姓
连夜买来放到
没有鱼的原因找到了，肯定是被鲑鱼吃了
就坑这个外行
省流从没赚过
“买”
塘主诈骗了，这不搞这塘主？那就是剧本了。。
太诛心了哈哈
不如给我
胡言乱语了
哈哈哈哈
是名字的问题，连夜改名李保赚
主要是没赚过
十天六七万就这？
绝对道具
看大小夜里放进去的
龟去来
一个框都没有
来看笑话的……
罚站
哈哈啊哈哈
不是草鱼吗，
当初还敢要8w
塘主纯赚4万，不知道怎么好意思拿钱的
骗子还是剧本 你选一个
拿声呐测一下就知道到底有没有鱼
好一点，多三条
塘主最赚
先抑后扬
老戏骨
估计塘主昨天买的扔下去了
先别说有没有鱼，你真有鱼拿不出来跟没鱼有什么区别
乌龟阵
润田唉，我们江西！最爱喝润田了
连夜放的几条鱼
听这个BGM就识搞笑了
大表哥肯定有猫腻，演的成分太多了
这大表哥自己包塘都是几百小千的玩的
cs塘主
投币回血
心虛啊眼睛既不是看鏡頭也不是看剛哥
亏死了
还不如叫钓鱼老来钓
塘主:我昨晚去市场买来放的，要不然你们打龟，没人来承包了
我怀疑是被捞过才给你们承包
这个才是说真话，塘主说的假话
草鱼呢
这不是诈骗是啥
打完了，唉
我有点后悔螺纹钢十几万粉丝时候，我就下定决心去训练，不说大了，起码与螺纹钢一起去参与比赛也挺开心。
鳜鱼值钱啊
就放了一点鱼苗就真把自己的鱼塘当回事了
演技
说的没错，都不够一人一条
哈哈哈哈哈哈
潜水下去看看不就得了
妇科难产现场
没事，不看拉黑了，窝火
4.6w
鱼都迷路了
我不到啊
都在后面呢
买小鱼
来
完了
赔
《准备拾到起～》
江西上大分
这么大的水域，没有上万斤的鱼，你不干的话打不到网不到多少的
大鱼吃小鱼
赌鱼
怎么敢要价三四万的？
三四万块钱不到二十条鱼
塘主连夜放了12条
村名是这样的
大坑比
租潜水衣下去拍到底有多少鱼
大家好，我是李赔光
.
塘主居然一点表示都没有。
刚哥求生欲极强
要啥名声要钱就行要名声就不会这么高钱
对方都逗笑了
堂主开开心心来别的就真不知道了
我们农村人是这样的
净赔5w。
小时候最喜欢看打鱼了，附近村子打鱼是必须跑过去围观的
打龟咯！
被钓光了
抽水才是王道，可这种老水库周围水源多，根本抽不了
好歹退一半的钱吧，人工都花出去多少了，塘主要不退钱的话，下次还有人敢去包他的塘吗？
金賊村的賊人有來捉魚嗎？
师傅“我不道阿，我鱼那去了”
退钱
赔光赔光
大坑哥
放条金枪鱼吧
桃花流水鳜鱼肥
要不你以后也在塘里面吧，我的堂主啊。
我就拿两条鱼，等一下，等我们先称一下。
乡亲们来看笑话的
一条草鱼没有，塘主也好意思要钱
夺少？
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
诈骗
润田
听口音塘主胡建的？
真的好准啊
我快笑死了
那些师傅故意的，一天六千明知道没鱼也要骗你们
一本正经的说谎
那几个师傅是真出生啊一天挣六千
全是大鱼，没有小鱼，离谱
别糊弄了
？
铁亏
怎么没有一条小鱼啊？会不会真的是买的连晚放的？
看这段，塘主过来大表哥先看其他地方，再掏手机。潜意识里是要保持距离，或者展现关系陌生的意思。但是正常的话，应该是会加入李维刚嘲笑塘主的。
几千条上不来五十条，太帅咯
有道理？不抓来拷问下？doge
人比鱼多
耍猴呢？
润田
超合金黑光
诈骗
润田！！
做局被坑了。
开局钓鱼穿救生衣？
亏麻了
这大表哥就可刚哥这一个大户宰呀
诈骗
没错，我昨晚刚放了几条
虎视眈眈的村民
捞过
堂主：坏了露脸了
道具组资金不足
上千条鱼都藏到洞里？？？？你自己信吗
这个人不是不实在的问题了，这是骗钱了
找律师告塘主吧，别笑了
"50,60条，才多少斤啊"
师傅还是有本事的，就是这塘太坑了
抽水水抽干必须抽干
胡扯
还真有人信啊？之前他一千多条怎么捞出来的？？
投币回血吧
环境太复杂了，不好捞啊
18条鱼花了46000块钱的承包费，5000块钱的抽水费，还有5000块钱的人工费，还有2000的工具费将近花了6万块钱，就捞到18条鱼，相当于一条鱼，3500块钱，3500块我都能买好多大龙虾了
18条鱼花了46000块钱的承包费，5000块钱的抽水费，还有5000块钱的人工费，还有2000的工具费将近花了6万块钱，就捞到18条鱼，相当于一条鱼，3500块钱，3500块我都能买好多大龙虾了
华哥已经蠢蠢欲动了
18条鱼花了46000块钱的承包费，5000块钱的抽水费，还有5000块钱的人工费，还有2000的工具费将近花了6万块钱，就捞到18条鱼，相当于一条鱼，3500块钱，3500块我都能买好多大龙虾了
塘主：我沉网早捞完了
抓鱼师傅：打我脸是吧
一起亏一起亏哈哈
哈哈哈
气氛已经到位了，就看是否对得起这个气氛了
这种山塘是拉不到鱼的
塘主昨天去菜市场买的
捞完不补苗是吧
诈骗
你怎么复杂也躲不了啊
这几条还是昨晚放下去的
比这塘小10倍的，人家都放三四千条了
才放了2000条鱼，这么多年捉了多少趟了？
几千斤鱼都躲起来了 哈哈
周文虎呢？
合同期快到了别人捉的7788了！还不如把这个钱送给有帮助的人
诈骗 报警吧
《草鱼》
钱多？不如拿去送给贫困那些人
就算是里面有条鳄鱼吃鱼，你两千条就一条没有，真能骗
这些大扁鱼不好吃，卖才5块钱一斤
6666
帮不到了，但是钱到位了
人傻钱多，别人合同期快到了，早就捉到没几条鱼
草鱼呢？
这怎么算？？？？
这几条鱼请人工来拉网的钱都不够！
鱼塘合同都快到期了，别人早就捉完了！
鱼塘主就捉完啦，卖给你的偷偷的笑了
一点都不忐忑，多了替你高兴，少了替你开心
下次没用下次了
赔大发了
《赚》
抓鱼
塘里压根就没有多少鱼
太大了，一斤多
这没说错，正常就是鱼先卖给村民
很蓝的啦
塘主为啥抓得到1000条，你几十条草鱼都不得呢？
之前都捉了多少趟了！还有千把条！
塘主卖之前都捞了多少网了！
这个村不抢鱼了？
塘主说啥你信啥？
一千多条都躲进去了？
一条草鱼都没有
我的吗
抽水
岸上的人比水里的鱼多
弄成钓鱼场得了
你赚毛线，
退钱
报警吧
李破产
退钱
大家好我叫李赔光
捞鱼还要付两千人工费
还有其他UP主视频作者造谣，说刚哥的老婆来了，刚哥啥时候结婚了？
塘主开心死了吧，赚这么多
笑死，这个时候不是找塘主麻烦，反而说自己付，这不是合伙的谁信啊
鱼没捞几条，师傅钱又陪进去两千块
表格也是个没蚂的
塘主没有蚂了
塘主没木了
提前捞了
说的道理
太大，水太深了
那你解释一下为什么第一网能捞400，鱼成精这么快？
草鱼呢
投币  回回血
不是有声呐探测吗，水下摄像头
头大身子小，饿的快要死了。估计提前放的。
赔光，哈哈哈哈
乖巧
抽水必须抽水
丸辣
20年老空军
堂主一直苦笑，估计知道点什么。
放弃她 哎 北鼻！！哎 北鼻！！
憋不住了
很开心
张嘴就来
塘主心想我昨夜放了上百条进去怎么今天才捞到几条？
骗子
弄个探鱼器测一测不就知道有多少了
我知道，是华哥的问题
突然有这么大的，保不齐是新放进去的
让他出
塘主坑的太狠了
第一网空，第二网六条，第三网能有几十条都算多了
2000g
人比鱼多
抽水
薛定谔的塘
华哥在强颜欢笑
演员
抽水啦
每次血本无归之前都有一个血本乌龟
村民已经准备好了！
没人喂能有多少鱼
你还信堂主啊
不要跟表哥玩了，看着不像好人
丁真
不会没退钱吧？
不应该啊，当时两个钓鱼的还上二十多斤的大草鱼呢，怎么会没鱼
塘主赶紧退钱
最怕金凤村的人
像极了老师看破学生撒谎的眼神
刚哥看破的眼神
这4万6事小，以后别想混了
包亏的
道德绑架
抢鱼吧
自动拾取都打开了
退一点点不就不慌了吗，哈哈哈
四万八四百斤+18条
零头都没捞回来
华哥的一万块哈哈哈
塘主钱骗人，里面根本没有鱼
下次带个声呐
CS
健身佬来搞鱼塘就很可怕
逮它一个月我不信逮不到鱼
地形再怎么差也不能一条草鱼没有吧
晚节不保老师傅
刚给？看到这个情况，塘主还敢收？？？
必须抽水
拉师傅来对质，师傅不得打死他
哈哈哈哈哈哈哈，昨天就六条
不够师傅的赶鱼钱
有鳜鱼那基本上完了
塘主：第一次见鱼还自己带网的
是他赚还是我亏
一世英名毁于一旦
包亏的
《一起赚》
真的是水有点深把握不住
桃花流水鳜鱼肥
没鱼要被喷死
一条草鱼都没有
上挖机放水
塘主：上头了，马上要捞完了，怎么办啊！！
抽水赔的更多
已经结束了
还不如用抬网，哈哈哈哈哈哈
退钱！退钱！
堂主赚麻了
药丸药丸
哈哈哈哈哈哈哈哈
能起鲑鱼说明师傅还是比较经历的
回了一万
最大的鱼就自己带网来的那个
没有鱼就塘主下去打窝
建议把水抽干
塘主退钱吧 这钱赚的 也是有点亏心了
叫个蛙人看看
《那也不一定》哈哈哈哈哈哈，刚哥水都咽不下去了
连夜放的鱼吧
肯定被提前收网了
真离谱呀 塘主不赔偿点吗
哈哈哈哈哈哈哈哈
是放了2000条草鱼，老板捞完了而已
做局
迷魂阵
只是有点
汗流浃背了
塘主连夜放的
抢鱼村
大表坑
捞过好几次。最多一次。这还不够明显?
举报大表哥账号
影帝
12条
打归
你们真信别人说多少钱包的就多少钱包的？
凉了一截
草鱼在那
就这几条
李赔光
哈哈，我们江西的润田矿泉水～
潜水下去看看
弄个五十万的抽水机一个小时抽干
第一天400斤，把鱼吓跑了
大叔人真好！
不是堂主问题，不是师傅问题就大坑哥问题
真赔光了
把水放干
没鱼，大家称一斤糖水带回家，当鱼汤喝
心里有鬼当然慌 毕竟是诈骗
抽水吧
诈骗犯
这鱼打发乞丐呢？这几条怎么解释
唐主说的有道理，鱼都游到海里了
抢鱼村和没鱼岭。
抽干
怎么二三四十年老师傅晚节不保
这种天然的怎么抽得了水啊。。
三国杀蒸蒸日上大败而龟
塘主还钱就行，没别的要求
血本无归（乌龟)
哈哈哈
最大的鱼是你本人
这不报警？
打龟
给师傅整乐了
2000多条草鱼呢？
有蘑菇力吗（
？
诈骗，塘主说他能捞几千斤呢，你让他再捞一遍试试？
哈哈哈哈哈哈哈
诈骗
诈骗
看着被骗钱心里堵，取关不看了
塘主这个钱也好意思挣，不亏心么
这倒是实话，以前在河里，看到鱼一大群，网放下去，一条都抓不到。
蛇形山镇？
？？？
这也太坑了，这老板不地道，连零头都回不到本，
再和大表哥玩取关了
前面的我也是山西人哈哈哈哈
面上毫无波澜（内心慌得一批）
抢鱼村：来拣小鱼的
被野生钓鱼佬钓走咯
过分了
60年老师傅要请出山了
为啥不用抬网呢
被钓鱼佬钓完了
被入侵物种吃了
肯定被坑了，他自己说之前上网都有鱼，要是环境因素之前应该也就是几条几条
塘主怕不怕网暴
因为你是最大的鱼啊
为什么看到华哥就想学笑
重新定义演技
干了更尴尬
我30块钱一条卖鳜鱼...都是养殖的不值钱
好歹说的上千条，真有的话，再怎么躲也不止这点
18条
大表哥跟塘主拿分成的
鱼在和我说话呢
个头大，就是搂不到
抽水
哈哈哈哈
表哥钱如实退换，钢哥华哥的钱三七分账
李赔光！
我觉得塘主还可以继续编
哈哈哈哈哈哈哈
塘主诈骗啊！应该报警
投个币帮你止损一点
还不如抬网，多抬几次
debuff拉满
抢鱼的
看的不开心的点个赞
niaoren
可能有地下暗河
感觉被捞过了，，再怎么没有也不至于这么少
怎么感觉每次都赔啊
看笑话的
血本乌龟（无归）
庭审
高情商
《一样》
应该按照分成率计算，有多少算多少，这东西不适合赌
这么看可没十二条
纠正:看我们笑话（doge）
大叔实在人啊！
鱼塘三座
好像我同学呀，都是一个说法
草鱼苗也是草鱼
打龟
被耍了，下次找专业人员先摸个底
少碰野外的，就怕破坏生态
本来想有剧本，结果被真实
忘不掉的抢鱼村
侦查一下？
沙包大的拳头
提前捞完了吧？
以身入局，钓出包塘黑幕
逆天
洞里面能藏几千斤鱼？
左零右火，雷公助我
就是塘主诈骗
诈骗
师傅自己都蚌埠住了
hhhhh
塘主为啥不说当了俩万条鱼进去？
买鱼
老师傅都绷不住了
还记得一开始狮子开大口的人
这不坑人吗？报警吧
《几千条鱼》笑死，真黑心啊
草鱼：兄弟们躲起来好不好！
感觉有点骗钱的意思呢，
还怎么搞，笑死了
哈哈……现在说到“村民”两个字都烫嘴！
退钱
李赔光
已经抄过几次网了？
你2700多条是怎么算出来的？有依据吗？
我看堂主是想哭啊。
再躲也不会只捞十几条鱼啊
这是属于我们的斗争，大家要团结一致
抽水！
不会是昨天塘主买了放进去的吧
省流：自己看
已经捞过
愿赌服输
师傅已经明示了
塘主诈骗
诈骗
连夜放的鱼
一条草鱼都没有，绝对撒谎了
啥时候赚过啊
钓走了呗
一语成谶
是不是拉了几次已经
抽水干它
师傅：我的名声。。。
打龟
华哥呢
师傅：我名声都毁这了
诈骗
那就只剩大表哥的问题了（
吹牛逼呢
人工费都不够吧
绝对诈骗
就是塘主诈骗
一千斤鱼都躲起来，怕是扯
再包一次，毕竟里面还有一千多条呢doge
你信纹身的人
进度条说明一切
塘主：一定要忍住，现在笑出来就完了
报警吧
是鱼的问题！！！
这种塘拉网不好使，只有两个字:抽水
终于更新了
草鱼已经连夜赶往抢鱼村了
哥，我没鱼塘，可是啥时候后给我也扶贫一下哇
你好，李赔光，哈哈。。。
鱼没喂过，一打窝就全跑来吃了，大部分就在第一网捞走了
笑不出来了
12条够了吧。。。。
真的是人比鱼多
上电工吧，刚子
不止6条，诛心了。哈哈
形势。。。。哈哈
+
目测李赔光毫无悬念
抽干
不是没鱼吗？
师傅：看破不说破
塘主：我慌啥
血本无归啊
上千条鱼都躲在一起是吧哈哈
这鳜鱼长得好像海鱼啊
这不明显骗人的么
塘主必须退钱
捞完的了
表哥的钱如数奉还
这个塘能放水吗
临时放进去吧，还全都是大鱼
听我狡辩
奥斯卡影帝
退钱必须退钱
草鱼一条都没有
铩羽而归
塘主不赔钱说不过去
塘主这钱得退一半
老板不想亏呀
40年老师傅都有点慌了
塘主捞完了
都捞了一千多条了？难道没有挂掉的鱼苗吗
塘主不怕被打吗
4万6啊，让邓刚老师钓钓看
李赔光
潜水吧
太惨了
哈哈哈哈
李赔光笑死我了
哈哈哈哈哈哈
乡亲们可能是来看笑话的
哈哈哈
昨天放的
村民为啥都这么闲
如果说鱼多的话，就算不好补，也不会就这一点
老哥做慈善帮助别人没问题，但别送钱给骗子啊
塘主：坏了，我跑得没刚哥快
刚哥你听我狡辩，不是你听我找借口理由，不对你听我忽悠....
这都是塘主连夜放进去的鱼
我糙。这几乎已经告诉你你被骗了。这大叔好人啊
太大太深了，这不好网吧
润田好久没喝了
骗子
人比鱼多
光下网捞不到什么鱼的还的干塘才行
当归
也是揭穿一种一般接触不到的骗局了
怎么也不能多过6条吧
塘主开始汗流浃背了
放了多少鱼苗又不一定等于有多少鱼，存活率呢，塘主最好不是故意说有那么多鱼
李赔光
村民：来看笑话的
塘主：完了完了，等会该说啥
藏起来了几千斤哈哈哈哈
压根就没
就怕里面还有暗河
塘主：咋都是鲢鱼啊？我明明放的草鱼苗子啊
含泪赚4.58w
这能有500块钱鱼？收人4.6w
水下是比奇堡
被坑了
我们是来抢鱼哒
抽水！！！鱼没塘主没！！！
大表坑  李赔光  空军华   沉默轩
塘主：我昨天买了50条扔进去了怎么还是这么少
网没到底吧
乌龟乌龟无归无归，血本无归
零元购
你赔光
师傅要转行了
抽水抽水，必须抽水
那把人卖给鱼不就是了doge
真不算诈骗？？？真想报警了
上电
牛逼
潜水
不行退钱呗 ，说那么多废话
哈哈哈哈哈哈
真翻了一番
这里的笑声，大家慢慢品
潜水
主要是说出去运气不好，别人忌讳
搞人设了，近期舆论大了吧
暗洞能多几千斤鱼？
太那个了
指认现场
哈哈
《指认现场》
在边
退钱
退钱
退钱
互联网是被你玩明白了
塘主连夜放的，哈哈哈
？
一看就不靠谱这人
心虚
来进货的
不会捞过一次的吧
热情咋了？热情我就要送？
啊 这真不是放进去的吗，哈哈哈 之前都是大头鱼
退钱
坑
门外汉找了个捉水鱼的
抽水 ，必须抽水
刚子，这里水很深，你把握不住
笑死，开始胡言乱语了哈哈哈哈
鱼不用呼吸
符文战士
6
昨晚放的
下期潜水捕鱼
被坑了
华哥：笑死我了
哪能不期待吗哈哈哈
来抢鱼的
水下拍摄机看看吧，这和买彩票一样
我一个人都比这两天的鱼加起来还重
哈哈哈
丢个人下去都比鱼重
快笑死了
笑死
被忽悠了呗
不好意思的是那出生塘主
这网眼也不大啊！确实像连夜放的真干净
“不可能”
有个集贸
坑壁登场
离谱不够当误事的
几万块费神费力就买这几条鱼
打龟
退一半不行吗？
老师傅：可怜的娃还在自我欺骗
打龟仙人
水都没排谁敢进去强鱼 不怕淹死吗
只有链子 肯定被捞过得
花鲢太瘦了
绝对是有鱼的，只是确实不好放水，鱼觉得多的
堂主连夜买了五万块鱼放了进去
登登登！
被人偷偷的钓走了
冰置入龟
都被他自己捞完了
捞鱼F4
新型诈骗
桂鱼值钱啊
这个情况的话感觉真是放的鱼
塘主汗流浃背，夜里猛猛放鱼
人机鱼
塘主怕被网暴 吓尿了都 估计刚开完偷鱼村视频
俺拾的
这个得找100年以上的老师傅来拉网
塘主坑人了
有起错的名字，没有叫错的外号
可能连着地下河跑了
放不完水，这是流水有源头
一起亏钱，一起赚流量
好歹鱼是真的，是真的，是真的，比某些人好
退钱吧，这钱你拿着不烫手？
日常亏本
真赔光
哈哈冒汗了
凉了
空手而归
塘主还敢来
那么你的抓是怎么抓几百条的
，
塘主连夜加料
演技派塘主
塘主稳赚不赔，稳如老狗
270条都找不到
听我来狡辩
大表坑
这个塘主肯定有问题
寓意，打龟
别跟大表哥抓鱼了 自己找个塘包吧
大家好，我是李赔光
沉底了，哈哈哈
眼泪都出来
兄弟姐妹们，这个堂主很像毕哥，小智那个毕哥
抽水抽水
大鱼吃小鱼
漂亮的妹子，一闪而过
这次赔的有点多啊，我真的不想笑，你这七天人工都不够啊
最怕偷鱼村
4万块
电！
捞过了
去和老养鱼的鱼塘主取取经吧，几千尾鱼的鱼塘肯定不是这种表现
这还不报警等什么
是润田ye
丸辣
西塞山前白鹭飞，桃花流水鳜鱼肥
几万几万的包塘，财大气粗才会干的事，鱼有多少不好说自己下了几网总知道吧，看塘下注肯定是错误的
由于岩洞通向地心所以被地心文明捞走了。
塘主:鱼塘底下有个巨坑，鱼都藏里面了。
噔噔噔
老师傅：草鱼？躲洞里
这个塘地形复杂，搞不好都在上下面的缝隙里
大家好我是李培光
昨天塘主连夜去鱼市买了几条鱼
2000：2优势在我
这塘，不放水根本抓不了，山塘，锅底，中间很深的。
省流:鱼越少鱼越贵
樊振东退役转型迅速啊
大保底也歪了。
龟零
12条鱼有可能是塘主连夜放进去的
嘉然和马文杰已投币
大鱼吃小鱼
汗流浃背了刚哥
你无敌了孩子
0元买也是买
50
等着投币回血
好的
啊？
野塘有个毛鱼
鳜鱼很贵的
2700条草鱼哈哈哈
从泉眼跑了
哈哈哈被坑了
坑的就是他们的
被这坛主坑了
四万五的鱼
这几条鱼都是塘主连夜放到吧？！
这搞最后能回一W不
别这样说，这就是说老师傅手艺不够，断人家生路
李赔光
老师傅被坑死了，以后不会有人找这两个老师傅捞鱼了
一千多条鱼几个洞，怕是有点挤哦
老师傅四十年晚节不保，可怜啊
大出生
要不然为什么师傅一直说没鱼
新型诈骗
你们两条才是最大的鱼
被坑了
这里不是金凤村，不要乱说
哈哈哈哈哈
流量收益赚爆了
ppppdmmdm
又
是本泽马的问题！！！
亏鱼存
华哥抽他
姨妈归姨妈
塘主笑洗了
懂了，得60年的超级捕鱼老师傅来才行（狗头）
笑嘻，钱真好骗
哈哈哈哈哈哈哈
记住这句话，等会要考
勒布朗滑！！！
你猜他们为什么笑23333
退钱吧
