他们一定能走出去
都快到边境了 德宏
一定要看到最后！！非吃不可
硬币给你了。
小马云骑动
加油！
天呐！！！小蜜橘！！
太有意义了！
姐不白看，姐给两个币不是给你的，给孩子们的
《鞠婧祎》
刚才大家看到一个粑粑蛋糕了。
从此多了几个吵着吃蛋糕可能出不上的
鞠姐你是真的火了！我也喜欢
四川欢迎你
啊？
有梦想就是很好的事情说的没错。
哈哈哈哈哈哈
缅甸?打仗???
双向奔赴
有目标是好事，别在乎什么别的了
哈哈哈哈哈哈哈哈哈哈哈
老师们大义
我们学校一天啊空啊那玩意是
今天他们的作文素材是：我最敬佩的人
这辈子有了
加油！
我的眼泪从口里流出来
梦想成真……
我给币了
好人一生平安
谢谢你
我哭了T﹏T
这还能吃吗
我也四年级
怎么全是四川人
币给你
好的 加油吧 少年！
他们是未来 也是希望 希望快乐成长
伟大的妈妈
真好啊妹妹
加油
好乐观的生活态度，泪目
啊，太感动了，谢谢
小宝贝，四川欢迎你！
希望你们梦想都成真！
四川欢迎你呀!
好美的晚霞
祝福左右小孩愿望成真
祝福每个小孩愿望成真
云南山区是这样的贵州也是
终于知道为什么我刷到这条视频了
我发现有些孩子画的比我还好（
高德：诶嘿
这个才是真神
what？
？
100亿可能有一点点困难，不过有梦想是好的
秋名山
先生大义！
中国版野兽先生
中国版Mr bess
打仗对我们来说是个遥远的词
？过这么好吗？我们学校现在都还已经是连肉都没有，到家真的不来资助一下吗？
四川欢迎你！
同道中人
提示：投硬币时尽量不要说硬币之力是这样用的这样很影响观感
先上大意。
原来是你呀
被送进戒网瘾学校确实可怕↑
竟然有颜料！
要不忘初心呀
这将是他们童年最辛福的一刻
住缅甸干嘛呀？？？
原来爸爸妈妈说的是真的
地铁大亨
干嘛按喇叭？
全民制作人大家好！
看到这里泪目了
欢迎来到四川
OMG
加油！
比我们学校吃的好
《能不能把爆率调高一点》
为什么还有电话手表呢？
不代表山区的孩子就没游戏玩
一定会实现的！
如如:我这的草莓分他们亿点！
父母估计也不太放心吧，因为生活所迫？
《地铁大亨》
长大后也想去大山帮助这些孩子
这个妈妈好美
117听到没
卧槽
哈哈，好可爱
投币了
那爆率调高的那个是不是在玩手机？
啊？！我记得捐的是课本啊
蛋仔！
以后的每一天 孩子们都会期待会不会有一个大哥哥来插班
山地佬笑嘻了
《挣够一百亿》
哇
逆天
啊这
暗区玩家
唯一能帮的就是三连献上
投币了
先生大义
四川欢迎你
太同意了
不是说这个梦想不好哦，就是感觉现在娱乐圈真的很带坏小孩子，你说这些明星各方面牛逼也就算了，但是就那样的，真的很难评
偶像不就是一个目标嘛，为此努力的过程才是真正的成长
在这里面没有中式教育 只有无尽的快乐
哈哈哈还有小蜜橘
不是吃这么好
暗区玩家
妈妈很坚强很温柔
币给你
我老家也是这边的
祝大家和我自己的梦想成真！
你先别管他是不是真心的，起码孩子们是真的吃到了好的食物
《蛋仔》
加油
小孩：谁欺负谁啊
别的班已经开始羡慕了
party time
117:滚
哎，我电话是不是响了？
哎，我电话是不是响了？
右眼皮跳
右眼皮跳
因为自己淋过雨，就要为别人撑伞
真好，今天也是我的生日
我当过班长，而且我也姓赖。
妈妈有温柔的力量
希望天底下的小孩子大孩子都能有美好的生活环境
哪有梨子味的蛋糕
已经哭了
因为有难处，不得不放心
想象力真好
这么多四川人啊
好，这个想法好，这么多吃的绝对可以
完了，其他今天成为每个人的生日了
家人们泪目了，呃呃呃
美术老师竟然是艺术家，不像我们这些城市里的
好美的晚霞
同志原来你也
我就是云南人，虽然我幼儿园是在云南上的，但是我小学是在浙江上的
确实非吃不可
啊啊啊鞠婧祎
感谢up，你所做的事太有意义了
四川欢迎你们
投币了
还真是
让主播破费了，让主播
好欢乐
这种简单的幸福多久没感受过了…
拘大妈
父母怎么放心的呀，不理解啊
我妈妈已经跟我爸爸离婚了，也是同样的没给我打一句电话，然后小时候我奶奶就骗我说我妈妈被车压死了
祝宝宝们梦想成真！
UP好人，谢谢UP
这小孩，这辈子有了
这小孩。。。哈哈哈
去四川各种地方去吧
能不能把爆率调高的呀！
等你长大了，来我们四川吃火锅呗
眼睛为什么会滴下水
泪目了
己沉默
盘子边边折起来！！！！
我是四川人
心疼
鞠婧祎这辈子值了
真好
女士大义
很棒，
怎么说，比我小时候教育要好。真好
而你，我的朋友你才是真正的超人
升华了！
不会觉得浪费吗？能吃的完吗？
看着就晕吐了
看好了 小子硬币之力是这么用的
？
不白漂up主视频！已投币啦
40岁老男人，哭了，谢谢你们
不要欺负我
对是非吃不可！
孩子们一辈子都会记得生命中有这一段美好的回忆，谢谢up
你就是孩子眼中的超人！
终于有正常的了
我希望我也能像小岗一样，去帮助这些孩子们
四川欢迎你们！
加油
投币了，加油
没事，羊早都习惯了，没懒得理都是好事
卧槽
谢谢你
画的真好，感谢王老师
支持
哈哈哈，先定一个小目标吧
小孩哥说得好啊！
祝你实现梦想！
非吃不可！
妈妈好厉害
拐卖过来的或者买过来的
我也挺多年没吃过蛋糕了
我到了大学才吃到自己的生日蛋糕
我靠，我初中校服也是这样的
好淳朴
哇塞好棒啊！
看到了吧，光来了
先生大义
慢很漂亮
哈哈哈哈，这群孩子无敌了。
嗯？？？
他是真正懂得孩子的快乐的
先生大义
她是不是对这个一百亿没什么概念
我也想
同意
豪堪
梦想无论大小都是带动孩子飞向未来的翅膀
鞠婧祎值得！！
哈哈哈哈哈哈哈是同担
真好
四川欢迎你！
这辈子有了
神经前两位，
现实版的童话
我建的
。。。。
眼睛袅袅了
沃日这地方一天出生98个
呜呜呜
我觉得做98个小蛋糕性价比更高
看好了小资硬币之力是这样用的
内幕了
哈哈哈好可爱
我天好柔和的声音
这个妈妈长的好漂亮
全聚德很难吃
加油，等你成为全球首富的时候，你曾经待过的所有地方都会变成人头攒动的繁荣地区。
哈哈哈哈哈哈
我现在都觉得草莓对我来说是很珍稀昂贵的水果
好大的碗
姐妹们是个很奇怪的词吗？对象就是一群小姑娘啊用这也没错啊，难道要用兄弟们？
妹妹，只要有了一百亿，别说鞠婧祎，整个公司都可以买下来。加油！
妈妈感觉很温柔很有力量
开局即泪目
不要张口说被拐 这边被拐的很少 一般都是男方花钱给缅甸老婆娶 生完孩子缅甸老婆自己拿钱跑了
加油！都去祖国的小花朵！！！
哈哈 路亚这个是谁的小号
这桌都是女孩子，不叫姐们们难道叫哥们？
地上的怎么吃？
钓鱼佬！加油！
好温柔的妈妈。。。。
好有意义啊！投币支持！
只要眼界走出大山，也能回馈大山
是买来的缅甸新娘吗。。。
小时候最纯粹的快乐
我也觉得值得给硬币
植物奶油又怎么样，不容易塌，早十几年很多蛋糕都是植物奶油
四川欢迎你们！
加油！
梦想成真！
先生大义
超人！
硬币不想再攒了，投了
祝你们都成为想成为的人
这辈子有了
嗯……算了，只要别上网做抽象人，年少的时候有一两个偶像也没啥。
先生大义
把爆率调高应该是暗区突围
到大学可以办助学贷款减轻负担
四川欢迎你
开局即破防
厉害了，为了赚钱考清华
还押韵了啊哈哈哈哈
哈哈哈鞠婧祎，我也想见~
←《女士》
先生大义！
哇
可是鞠婧祎不会请你吃烤鸭
一定会实现的
加油
笑起来有点像焦俊艳
快来！我请你吃折耳根（doge
看哭了
小心像孙俪一样
100亿哈哈哈
没有一个愿意当动物饲养员的小孩姐吗好失望我不想投币了
草莓真的不好吃…把草莓当梦想真的是对草莓的过誉，而且女孩子永远都是草莓和粉色，这个社会的规训让我难受…
没有想当兽医的吗小孩哥
逃课哈哈哈哈哈哈哈哈
天哪。。小孩子穿的布鞋。。。
狗:摆拍绝对是摆拍。
饭圈现状
不是的，我小时候也很喜欢草莓味 长大后觉得草莓味的东西都不怎么好吃
看完心情都好了，加油小宝贝们
这妈妈很美
都是小女孩怎么不是姐妹们
这期好好哭啊
太有意义了
我去 太牛了
呵
每一个愿望都值得被尊重
我讨厌攀比，我喜欢每个人真心的快乐
助力
有理想是好事，能督促自己也是好事，但是真的感觉有点可悲
我是恩施的，我们恩施欢迎你
都是很好很好的梦想，加油宝贝们！
。。。。。
真好
？
我们山西是这样的
你是真正的英雄
啊？加油
女士大义
各有各的人生，各有各的生活方式
我们四川欢迎你
我同学有个叫徐静依的
来吧 四川欢迎你哦
，，，恭喜这位女士逃掉了
emmm……蛋糕坯都不是，还不如做小点真的能吃的
孩子们加油，祝你们梦想成真！
先生大义！
未成年禁止充值
？？？
额，呵呵呵
悲凉。去看看为国捐躯的英雄吧
四川欢迎你！
哈哈哈哈哈
灰尘大会
姐妹们？
这辈子有了
我也是云南的，小时候没吃过自己的生日蛋糕，现在上班了给自己买啦
啊？那你完了
。。。。
投币回血
哈哈哈哈哈哈小妹妹可爱
好像全红婵
在我们看来再普通不过的禧玛诺路亚竿却是他的梦想…
不要对牛牛鸣笛，爷爷都会把它们赶开的
四川去了来重庆看洪崖洞和轻轨穿楼吧！
我也叫彤彤
小蜜橘
哈哈哈哈哈哈哈哈哈哈哈哈哈哈
看到了不同于自己年龄阶段的人生态度
可惜这只是想象
前面的哪里抽象了不理解可以但是不要批判别人(
先生大义！
狠狠地专注了
投币投币，必须投币
简单而幸福的梦想
像小兔子
活着
说抽象那个才是最抽象的人……
哈哈哈哈
看的好心疼。。。
那天他们一起过了最开心的生日
哈哈哈，挺好的，至少是孩子们前进的动力嘛
《体育课》
我也是，一直觉得草莓稀缺
？
“下个路口有千千万万个我”所以不用担心这一小段路的力量
好棒呀
哈哈哈哈哈哈哈哈
这辈子有了
小孩子不懂他什么都不懂，他只知道那是光鲜亮丽的生活，而且很好玩，他们见识还短浅，虽然很抽象，但也是天真姑且包容吧
666，这辈子有了。
…
真的很努力在奔跑
等你长大了，欢迎来我们四川玩呀！
我也是没有吃过自己生日的蛋糕但是没有觉得很苦
草莓不好吃太酸了
达州挺好玩的
女士大义
女士大义
已投币
大人们也好棒！
?
看哭了
小孩，害我笑了一下
峰回路转
@118
啊
钓鱼要从娃娃抓起，不然长大空军就只能空悲切了（doge）
我曾经也跟他们一样，不过现在走出来了
啊？
"看好了，小子,硬币之力是这样用的。"
记得吃长寿面呀
祝小朋友们都能健康快乐成长，努力实现自己的愿望
四川欢迎你
《欺负我》
哈哈哈哈哈哈姐妹们
硬币之力是这样用的！
这下不得不投币了
呜呜呜呜呜呜呜呜呜呜
单押也是押
这个妈妈好温柔，好温柔，真好
前面那个说值得的，值得你大爷
阴阳师2500天无头玩家路过
姐妹们咋了  叫兄弟的时候就不觉得奇怪姐妹就奇怪了？
我去和我们校服一样(
路肯定有，就是又绕，又不好走
梦想成真！
这个主播值得关注
如果他们都梦想成真了；那就该你许愿吃蛋糕了……
投币！
策划说话！
好可爱的妹妹哈哈哈哈哈哈对一百亿没概念的
逃课是肯定和老师说好的。
：p
我小时候也是这样的
每个人都值得被爱，屏幕前的大人也一样！！！
有这钱
这么感人的故事，怎么没有点赞投币？
这孩子有点像全红婵
？！？
好感动
鞠婧祎值得
鞠婧祎鞠婧祎鞠婧祎鞠婧祎
我就说我不会无缘无故刷到这个视频
钓鱼佬绷不住了
越偏的地方路越重要
。。。
钓鱼佬笑嘻了
真好
啊？
哇
哇
我的生日愿望是所有人的梦想都能实现
实现了其中一点也是实现
投俩币，希望你继续下去
她好温柔啊
植物奶油
孩子们加油，祝你们梦想成真！
遇见牲畜不能鸣笛这都不知道？
国家的基建还是很到位的
我一直到18岁都没吃过蛋糕，直到我自己上班挣钱买了蛋糕
在男权下中国男性对那些发展还没起来的女性的那种不好，孩子就是最痛苦的
画的好好！！
？？？？？
啊啊啊啊这个哭死
真的很有力量
我太喜欢小岗了
太震撼了
看见蛋仔了哈哈哈
就这样年复一年
天啊 一个人住 不敢想长夜漫漫他在想什么
很冷的时候已经过来了 她真的…爆哭
“人只要不死，就会出头”好伟大的一位女性啊
好可怜啊
缅甸 因为离边境很近
心疼
孩子是简单的 很正常
哈哈哈哈哈哈
值得给你币
先生大义
收下我的币
完啦
祝孩子们梦想成真！！
？？？？？？？？？？？？？？？
有些男生:我什么都没说，我不否认粉色。
流泪啦
父母一方...大概率只有被拐的母亲......
？？啊着…其实你可以换一个梦想
为什么我在学校的时候就没吃过一点儿肉？
他妈妈挺惨的，不打电话才是正常的
国道
挺好的
温柔而有力量的女性！！！
泪目
一定要做一个对社会有用的人
满满的正能量
好有爱心
眼睛袅袅了
……
？？？
中枪了兄弟萌
什么叫这辈子就这样了…这样的年龄能有多高的认知？有想法走出去就很好了
云南边境能随意来去人真是害人不浅
因为国家有村村通公路
人总要有个盼头
梦想成真！！
父母一方又回到了缅甸，啊？
这个有点难哈哈哈哈哈
还可以从川西去到四姑娘山但是必须带氧气管
妈妈真好
。。。？？
宝宝们一定可以实现梦想！
祝各位愿望成真
会实现的
哈哈
最喜欢小岗同学了
？？？？？？？
？
这辈子真有了
一大早给我眼泪整的不要钱似的
金句（2/1）
太有意义了
每位妈妈都是伟大的天使！
小刚哭了
很有意义
全部都会实现的
梦中情糕！
真的很有可能是被拐或者买来的
这辈子有了
打包的烤鸭没有去店里吃的好吃，以后有钱了一定带他们来北京吃一次
爱的传递
啊???????
出手大方啊
带同学逃课
妈妈眼神明亮有光
那这个路，就是觉得国家真的真的有在发展，也真的有在改善人民的生活
会的
好歹还是开车的
wk，竟然是我们可爱的鼠鼠突围的玩家
服了。。别太搞笑你们哈哈哈
我也是山西人，看完这个视频以后也想为他们做点什么了
告诉诸位看客，币是这个时候用的！
投币！！！太有意义了
希望每一个孩子的出生都是被期待的
啊？出生的时候吃的蛋糕？
这辈子有了
投个币出分力
很有意义，谢谢你，向你致敬
你就是超人！
都会实现的!
妈妈让人感觉很舒服
哈哈哈哈
问的是女孩子嘛 姐妹们也没问题呀
好有力量
祝所有宝宝梦想成真！！
后面做成真的了
投币啦
会实现的
[前方高能]
感恩现在所拥有的一切简单的幸福吧
硬币之力
哇哦，真的画的不错诶
看他们满怀希望的诉说着自己的梦想，感觉要哭出来了
笑着笑着哭了
?
川西很美，成都很好吃很好玩，挺好的
这么偏居然有路
呜呜呜
妈妈年轻一定是大美女
妈妈好美
？？？
前面的，是啊，我也哭了，
原神怎么你了
别打喇叭，吓到羊不好
这个妈妈声音好温柔
祝所有宝贝梦想成真
童年最甜的回忆之一
好想哭啊啊啊啊啊啊
泪目了
这就是那种买来的媳妇吧
泪目了
感觉都好瘦小
看哭了
有没有可能是人口拐卖（我敏感一下别骂我）
祝所有宝贝梦想成真！！
想让年轻人生孩子，那家庭和国家都得对孩子好
哈哈哈哈
加油啊，希望你们过得幸福
感谢王老师
三联了，孩子们得到了实实在在的东西
卧槽，跑的这一次真哭了
这个大屏也太有意义了吧！
后面的天！
这路怎么跟静脉曲张一样
来了
